#Cfactor 0.0275981977
Recipient TSs156A TSs361 TSs368 TSs49 TSs138B TSs22B TSs287 TSs383 TSs314A TSs30 TSs291 TSs157A TSs27 TSs363 TSs9 TSs151B TSs133 TSs155 TSs209 TSs136 TSs22A TSs357 TSs161 TSs11 TSs5A TSs131 TSs294 TSs378 TSs336 TSs111 TSs56 TSs3A TSs95 TSs2 TSs44C TSs201 TSs217 TSs168 TSs98 TSs116 TSs53 TSs63A TSs158 TSs269 TSs317 TSs49A TSs417 TSs195 TSs371 TSs23 TSs51 TSs59B TSs365 TSs224 TSs325 TSs119A TSs166 TSs297 TSs338 TSs293 TSs24 TSs334 TSs1A TSs266 TSs277 TSs60B TSs303 TSs120 TSs132 TSs78 TSs61 TSs60 TSs274 TSs10A TSs96 TSs282 TSs56A TSs296 TSs33 TSs311 TSs68 TSs104 TSs58 TSs358 TSs82 TSs15 TSs3 TSs4 TSs331 TSs314B TSs333 TSs7 TSs38 TSs10 TSs48
TSs156A 0 27.929236 18.508561 18.714133 25.374599 19.734245 18.603628 18.732378 18.906144 18.967061 18.291415 18.51699 20.625643 28.858006 19.0189 27.836589 26.588724 23.72 19.205547 19.278416 19.14814 24.321725 18.637922 18.396356 21.35491 19.461735 19.504246 19.188568 19.190973 24.707331 18.099959 18.598179 19.062699 19.594103 21.491499 18.29165 17.671405 18.88096 18.141682 19.048109 18.875716 18.743033 20.258032 20.200949 18.772799 21.433567 18.440633 21.27048 18.287857 20.746407 17.887729 19.458865 24.239433 21.624509 17.675735 19.564239 17.935352 19.456103 19.454733 19.143768 18.05672 18.18118 20.655312 19.384418 21.356859 19.60573 17.743657 19.966337 18.447262 18.929323 18.977892 19.26778 19.271609 19.009749 17.779904 19.798806 18.658356 18.975457 19.72174 18.497429 19.379008 19.31285 19.061991 27.828608 18.484726 19.223384 18.246367 20.017974 18.965515 19.128962 18.310257 20.43513 18.516088 21.485141 19.016454
TSs361 27.914731 0 17.722122 17.859103 26.549662 19.322613 17.630079 17.989237 18.286577 17.893816 17.558456 17.909121 19.947735 29.062758 18.662172 40.803378 26.929031 25.824929 18.851146 18.260326 18.676376 30.452891 17.513278 17.295767 21.56948 19.014967 19.557719 18.05746 18.88913 25.371556 17.397909 18.028783 18.548571 18.721154 20.259425 17.61252 17.48278 20.207006 17.738267 18.512507 17.933978 18.790254 19.25043 20.637533 17.619611 19.414726 18.348691 22.350539 17.284671 19.96527 17.686772 19.154012 25.820742 22.72163 17.431665 20.379895 17.753103 19.170568 19.614161 18.510172 17.280919 17.615613 19.257934 18.213739 20.342001 18.67589 17.266452 19.188434 18.925522 17.863248 19.687893 18.130938 19.57197 18.720654 17.238146 18.793418 18.185451 18.300266 18.767616 17.402951 19.554292 18.019337 17.794888 40.732567 17.367112 18.357917 17.410834 19.44256 18.632488 18.363219 17.717756 20.739371 18.030222 20.853387 19.244948
TSs368 18.616606 17.858201 0 19.348946 18.610674 20.080663 20.384241 18.924091 20.064439 21.758071 18.242636 21.746382 19.678534 18.813712 23.379764 17.764833 18.506981 18.240053 19.100141 21.989406 19.712214 18.792077 21.444642 20.075834 18.853083 20.842227 19.447149 20.489288 20.320764 18.898337 21.45536 20.931049 19.953593 20.331906 19.817439 20.302784 18.350366 19.805457 19.775233 19.725299 22.218657 20.250549 19.398819 19.295155 20.526413 19.281548 19.138375 18.718814 18.975233 19.956186 20.71309 21.105086 18.577331 19.261978 20.343738 18.830226 20.255587 19.215205 20.500886 20.052135 20.634936 20.524209 19.500191 21.188251 20.45052 20.59946 22.954621 19.608794 19.664399 19.695134 19.312202 23.165945 19.405962 22.713359 20.006831 24.05399 19.493668 20.375793 19.315886 20.101967 21.03136 20.509622 20.037718 17.88568 19.320166 20.75375 21.738096 20.87787 20.190346 20.84534 19.818011 19.537504 18.67486 20.500111 20.52182
TSs49 18.801952 17.940618 19.234866 0 18.270446 23.309871 19.101183 18.786608 21.180555 19.383038 19.148549 19.443341 19.504932 18.516827 19.86558 17.981491 18.906876 18.643494 19.711027 19.838442 25.092874 18.855652 20.211833 20.610012 19.315389 19.395724 20.113764 21.984032 20.175897 18.892288 19.2921 20.668704 19.687909 22.16999 19.369821 19.52431 18.438292 19.220167 19.127672 20.167782 19.140936 19.629164 19.244396 26.322351 22.773991 19.336836 19.540951 20.612055 19.812319 19.812994 20.767961 22.248926 18.633135 19.124093 19.257912 19.121019 19.45869 23.3195 19.550041 23.101231 20.799167 19.410315 22.522887 19.315773 19.434116 20.650222 19.270593 19.882635 19.983046 18.498673 19.182032 19.25953 18.713921 20.255618 19.824625 18.849796 19.259584 22.549659 20.944744 19.02297 21.061586 19.660399 18.807926 17.944447 19.496764 19.392576 19.946231 19.101167 19.534522 20.155177 21.164443 21.093508 19.235091 19.833176 19.192794
TSs138B 25.327151 26.440554 18.507968 18.252069 0 19.445644 18.997143 19.369437 18.541881 19.100664 18.964857 18.546087 19.993737 26.319144 18.850596 26.348926 24.945519 24.545662 19.402506 18.913084 18.894037 23.821046 18.108889 18.635972 21.497602 19.419804 19.284384 19.056864 19.651697 22.69307 18.790244 18.718 18.504434 18.803764 20.889873 18.368266 19.243821 20.444321 18.678113 19.008737 18.955594 19.562002 20.675568 19.541904 18.43362 21.076314 19.075792 23.128249 18.444634 21.282785 18.464597 19.418327 25.196571 23.11371 18.598294 21.061773 18.205495 19.035463 19.685494 18.691666 18.213477 18.506163 19.829733 19.000475 20.150551 19.042377 18.342934 19.793462 19.028206 18.973776 20.03581 18.843914 19.864515 19.1145 18.530299 19.300448 18.939366 18.857103 19.028667 18.597414 19.162343 18.923009 19.87809 26.296574 18.388595 19.04541 18.394716 19.393196 18.772325 18.400824 18.326434 20.213719 18.977513 21.909546 20.503897
TSs22B 19.625161 19.244068 19.845467 23.112465 19.307695 0 19.452228 18.224399 21.09834 19.546985 18.497924 19.59221 19.874922 19.283936 21.046163 19.080494 19.593543 18.954009 18.382682 20.382006 23.712362 18.805216 19.627338 19.68492 20.116215 19.459442 19.187657 20.104353 19.996896 19.174517 20.420515 19.836243 18.017157 22.632298 19.608219 18.787731 18.598425 20.111438 18.526181 19.508971 21.01054 19.909012 18.793948 21.731469 20.46495 19.639826 19.286057 19.686465 17.642168 19.592297 19.434527 22.830737 19.277571 19.399101 18.241846 19.982705 18.379545 20.598686 19.949956 20.822067 19.411161 18.365614 22.601372 19.846643 19.288352 20.770894 18.396423 19.087082 18.697883 18.3197 19.294172 21.216628 18.599217 21.233882 19.06212 23.981079 18.786619 22.596569 20.696837 19.284561 23.70402 20.015861 18.710216 19.186252 18.448305 19.26297 20.688386 20.227972 18.714514 21.62796 19.707921 20.6616 18.73549 19.394701 18.412066
TSs287 18.8265 17.899069 20.551246 19.199434 19.22014 19.834992 0 21.042343 20.77859 20.263597 23.650466 20.667429 19.955836 18.344141 20.815518 17.829916 18.51061 19.518926 21.321517 22.141027 19.016251 18.876775 21.058476 20.969762 19.345662 19.616392 20.485121 19.411487 20.22964 18.876857 20.166865 20.226336 19.57751 19.582045 19.79312 20.397051 19.244066 19.557246 20.771814 19.542822 20.750003 19.696143 20.089977 19.746783 20.860832 19.815982 19.862958 19.301299 19.984459 20.157236 20.517082 20.340649 18.851379 19.608515 19.749768 20.17642 22.221762 19.132072 20.087362 19.590846 20.604753 20.661537 19.431058 20.830632 20.160577 20.839235 20.317543 20.580003 20.379646 20.438268 19.778763 20.421025 19.904673 20.090153 20.711509 20.488292 20.197131 19.50603 20.204819 21.783729 19.998131 20.393468 20.16812 17.966598 20.840089 20.167795 20.069093 20.167885 19.663517 21.02699 20.351823 19.625726 19.694735 19.338442 20.469419
TSs383 18.961897 18.264144 19.041111 18.879895 19.551672 18.636354 21.055431 0 19.449737 20.433709 22.181462 19.87482 20.153537 19.165391 19.280791 18.376361 19.388716 20.1746 21.588038 20.485443 18.925368 19.43341 20.884528 20.681714 20.115585 19.864147 20.347451 19.899168 19.732394 19.62555 20.687354 19.870603 20.088577 19.046224 21.542509 20.899057 21.989775 18.708804 20.350112 19.445887 19.528422 20.365041 20.993865 18.70494 19.272693 20.351066 20.27174 18.724325 20.766812 20.240919 19.744082 19.289232 20.663438 20.082375 19.415154 19.361573 20.040584 20.013476 19.40597 19.738962 19.801704 20.049833 19.284495 19.793415 20.932784 19.721763 20.386981 20.429161 20.065516 25.259182 20.493163 19.183511 20.155898 19.401254 19.706605 18.461894 20.688787 19.44821 19.422849 23.103665 19.297523 19.728374 20.214593 18.285372 21.051134 21.35624 19.447608 20.748438 19.779233 19.448361 20.530371 19.818185 20.827528 20.322503 20.317449
TSs314A 18.941716 18.377764 19.943731 21.070657 18.530985 21.202827 20.587039 19.205541 0 19.663052 18.985211 19.635632 20.150643 18.312283 19.646006 18.400948 18.294348 18.541046 19.225343 19.452523 21.01911 18.973551 22.643967 21.010608 19.485363 20.611783 19.30914 20.708981 22.217497 19.54154 19.59873 20.178489 20.548222 20.115668 19.932949 20.659914 18.870177 21.089104 20.391199 19.633787 21.172331 19.010507 19.385494 20.630899 20.887895 19.70619 20.202827 18.887034 18.77949 18.854272 21.352069 20.390318 19.390532 19.344591 19.03076 20.614366 20.672225 20.229508 19.463067 21.061686 22.038482 20.140685 20.363097 20.323676 19.202653 19.79459 20.26654 19.802616 19.975294 19.216234 20.510598 19.698127 19.264038 19.464356 21.052484 19.715443 20.184436 20.033785 19.616637 20.171545 20.13217 20.39569 19.500444 18.430734 19.519485 19.41244 19.776321 19.341613 19.56251 23.743551 21.027485 19.308023 18.5085 19.158417 19.378241
TSs30 19.093671 18.021635 21.583626 19.339447 19.1966 19.786819 20.071724 20.235312 19.837455 0 20.182166 19.901333 20.257122 19.053145 20.335355 17.95253 18.812009 19.235263 20.474787 19.709712 19.012865 18.780914 20.204502 20.269744 19.631008 19.570204 20.58767 20.152402 19.549739 19.009779 21.177786 19.389464 19.96288 18.70568 19.778323 20.087347 23.05247 19.064028 20.713677 20.669658 20.644352 19.816764 20.229046 19.185993 20.008578 19.66876 20.341877 19.367014 20.428129 19.86136 20.280225 20.285702 18.7722 19.148509 20.918097 19.522771 20.230612 19.230956 20.488963 19.153891 19.696952 20.195399 19.471671 20.66543 18.718361 19.906207 19.898506 21.050852 20.596137 19.829756 19.655617 20.777221 19.841488 19.95254 19.758271 21.535086 20.310608 19.440614 19.611232 19.723136 20.195342 20.930372 20.873676 18.072412 20.506055 20.032157 19.614357 19.902503 19.617816 20.1891 20.546929 20.105265 24.429399 19.300279 19.358105
