Recipient num.regions TSs156A TSs361 TSs368 TSs49 TSs138B TSs22B TSs287 TSs383 TSs314A TSs30 TSs291 TSs157A TSs27 TSs363 TSs9 TSs151B TSs133 TSs155 TSs209 TSs136 TSs22A TSs357 TSs161 TSs11 TSs5A TSs131 TSs294 TSs378 TSs336 TSs111 TSs56 TSs3A TSs95 TSs2 TSs44C TSs201 TSs217 TSs168 TSs98 TSs116 TSs53 TSs63A TSs158 TSs269 TSs317 TSs49A TSs417 TSs195 TSs371 TSs23 TSs51 TSs59B TSs365 TSs224 TSs325 TSs119A TSs166 TSs297 TSs338 TSs293 TSs24 TSs334 TSs1A TSs266 TSs277 TSs60B TSs303 TSs120 TSs132 TSs78 TSs61 TSs60 TSs274 TSs10A TSs96 TSs282 TSs56A TSs296 TSs33 TSs311 TSs68 TSs104 TSs58 TSs358 TSs82 TSs15 TSs3 TSs4 TSs331 TSs314B TSs333 TSs7 TSs38 TSs10 TSs48
TSs156A 4 0 6.157233 3.791202 4.29884 5.317313 4.725003 3.889395 3.9589 4.356339 4.187354 3.601551 3.564903 4.336261 6.447764 3.932328 6.116467 5.465608 4.841272 3.93064 3.934247 3.988805 5.090896 3.972986 4.270904 4.541268 4.224311 4.554938 4.112118 4.563937 5.162377 3.809765 3.972957 3.996388 4.36356 4.674637 3.913258 3.963137 3.633418 3.644881 4.123346 3.812681 3.896746 4.745516 4.941351 4.00976 4.637632 3.946345 5.720637 3.919123 4.347312 3.649926 4.234451 4.943412 5.022358 3.584011 4.189186 3.697672 4.438279 3.938677 4.389268 4.089612 3.856367 4.419431 3.73176 4.255803 4.338914 3.433296 4.498396 3.632889 4.022888 3.750514 4.098374 4.505113 4.353288 3.872318 4.347074 3.900139 4.150327 4.34349 4.24731 4.228201 3.806766 3.837367 6.157233 3.897906 4.367189 3.9508 4.146427 4.061893 4.075204 3.913235 4.73204 3.996977 5.135035 5.135035
TSs361 4 6.157998 0 3.639541 4.237412 5.486536 4.62272 3.849197 4.005466 4.16999 3.978146 3.704546 3.629943 4.580341 5.864789 3.911097 7.922201 5.622326 5.012396 3.702783 3.820558 3.968187 6.03446 3.818491 3.824494 4.467935 4.268954 4.623293 3.755698 4.275077 5.081852 3.622059 3.768055 3.99875 4.192302 5.02124 3.685791 3.805458 3.610772 3.745498 3.80603 3.784107 3.943171 4.398151 5.15301 3.830303 4.173389 3.629448 5.590616 3.90019 4.382868 3.635423 4.342151 5.576026 4.958575 3.528492 4.299338 3.617493 4.250401 3.987505 4.175813 4.016009 3.742819 4.232808 3.820795 4.713711 4.07135 3.351495 4.28983 3.613768 3.504194 3.934426 4.047871 4.442627 4.419766 3.725896 4.307706 3.616788 4.054217 4.184683 3.801089 4.42709 3.879317 3.520776 7.964327 3.544299 4.347536 3.80691 4.162014 3.902534 4.150422 4.008921 4.638562 3.970201 4.981111 4.981111
TSs368 4 3.80437 3.646286 0 4.053701 3.817871 4.282995 4.440304 4.149386 4.358661 4.411384 3.996159 4.677945 4.213454 3.814599 5.285703 3.641995 4.060308 4.011414 4.274012 4.519239 4.325654 4.278202 3.785585 4.402283 4.028197 4.239569 4.159818 4.168 4.352482 3.73033 4.794956 5.021795 3.992565 4.514747 4.192849 4.867273 3.63497 4.333171 4.331048 3.850418 5.019282 4.143661 4.021808 3.89231 4.271031 4.05961 3.971101 3.808669 3.759239 4.080434 4.532675 4.760763 3.926305 4.135478 4.499442 3.952476 4.536481 4.025706 4.449131 4.239747 4.257662 4.065772 4.213921 4.618745 3.945489 4.193909 5.72405 4.17537 4.189678 4.076017 4.298565 5.182099 4.22584 4.613503 4.363689 5.559787 3.97204 4.450416 3.996988 4.591575 4.893049 4.388918 4.216595 3.646286 3.937248 4.466607 4.920775 4.390773 4.487043 5.141316 3.98143 4.071484 3.40753 4.125641 4.125641
TSs49 4 4.31578 4.232498 4.073826 0 4.256309 4.526464 4.414238 3.931447 4.100008 3.859418 3.712566 4.005386 4.191775 4.290013 3.838874 4.205463 4.446147 4.445202 4.881099 4.074764 4.528936 4.54351 4.32664 4.488489 4.176749 3.956393 4.520583 4.56346 4.177872 4.046035 3.941802 4.112738 4.2196 4.090397 4.17336 4.130941 3.843382 3.918052 4.063586 4.339345 4.037606 4.643287 4.461888 5.781034 5.433035 3.971921 3.886174 4.562984 4.149807 4.628129 4.378312 4.858658 4.170296 4.360002 4.165936 4.208765 4.213933 5.316602 4.183119 5.976046 4.592303 4.328859 4.294591 3.825974 4.432402 4.62735 4.111277 4.531527 3.970758 3.803139 3.963556 3.925677 4.147696 4.860079 4.390824 3.797675 3.917525 4.20647 4.652829 3.94459 3.751237 3.98597 3.96011 4.232498 4.201805 4.15953 3.987883 4.032219 4.269942 3.708596 4.829535 4.166821 3.9459 4.670792 4.670792
TSs138B 4 5.259961 5.424785 3.807207 4.226553 0 4.786548 4.100324 4.14675 4.023351 4.222655 3.760659 3.834191 4.294724 5.639876 3.995639 5.384269 5.244867 4.885688 3.834065 4.009299 4.087966 4.842235 3.854014 4.138045 4.687211 4.118392 4.4093 3.905064 4.277582 5.165083 3.998796 3.946771 3.988687 4.182416 4.763332 3.836199 4.141168 4.160434 3.717513 4.519592 4.021653 3.886801 4.669834 4.82154 4.22305 4.725639 3.630027 5.508999 4.026083 4.383882 3.716991 4.307145 5.21664 4.735857 3.592662 4.464901 3.46359 4.351958 4.07448 4.20643 4.001971 3.840192 4.567989 4.066558 4.440775 4.204985 3.849358 4.300789 3.90594 3.913791 4.045442 4.083954 4.61022 4.24765 3.906648 4.411502 3.887357 4.253008 3.971769 3.994386 4.272066 3.833481 3.739968 5.424785 3.660701 4.234808 4.026094 4.251335 4.035392 4.106776 4.099734 4.516055 4.309815 5.225512 5.225512
TSs22B 4 4.687811 4.599094 4.277337 4.496424 4.784848 0 4.300137 3.968272 4.43769 4.328901 4.042044 4.014902 4.4027 4.791791 4.4574 4.567724 4.566633 4.376941 4.006917 4.156382 4.863789 4.343794 4.16758 4.254714 4.303461 4.36532 4.226694 4.178728 4.207144 4.325744 4.271094 4.030328 3.998312 5.014407 4.54373 3.953963 4.164211 3.900246 3.762543 4.401046 4.363516 4.030502 4.124129 4.658807 4.166839 4.180005 3.97688 4.694583 3.872733 4.403703 4.141811 4.731545 4.299354 4.372176 3.903265 4.166637 3.782573 4.373718 4.441926 4.349547 4.121468 3.957576 4.883714 3.973655 4.091807 4.456015 3.982552 4.030307 4.082945 3.986814 3.879081 4.539261 4.203619 4.438431 4.037681 5.031703 3.794373 4.459377 4.387556 4.415053 4.951621 3.976591 4.080693 4.599094 3.936114 4.304936 4.506985 4.435968 4.099249 4.477518 4.068699 4.481648 3.802234 4.626513 4.626513
TSs287 4 3.905075 3.862741 4.422837 4.380876 4.134013 4.317814 0 4.187688 4.190693 4.170916 4.450252 4.799194 4.168766 3.995462 4.538062 3.821192 4.033294 4.014417 4.479694 5.516046 4.151376 4.019704 4.549242 4.450183 4.212709 4.307933 4.321411 4.255744 4.383864 4.035159 4.665208 4.193633 4.192767 4.166564 4.129108 4.196972 3.742059 4.333484 4.369659 3.912142 4.541999 4.185943 4.068286 4.321573 4.853242 4.235317 4.097306 4.092122 4.263933 4.314073 4.511393 4.437589 4.142876 4.024906 4.158737 4.19308 4.543567 3.891273 4.509553 4.492281 4.378004 4.450763 4.226674 4.628226 4.012808 4.433966 4.34931 4.519157 4.197895 3.976679 4.264937 4.372153 4.260915 4.38051 4.240861 4.398389 4.202488 4.33253 4.157042 4.442431 4.343948 4.372877 4.251875 3.862741 4.633264 4.168807 4.318949 4.312267 4.244552 4.515681 4.283362 4.104178 3.961788 4.145697 4.145697
TSs383 4 3.95429 4.055977 4.181621 3.961432 4.199812 4.046325 4.233709 0 4.209531 4.165809 4.297148 3.956251 4.155357 4.280177 4.337117 4.25002 3.912161 4.284422 4.271188 4.294453 3.945783 4.316527 4.233817 4.343524 4.16839 4.282646 4.130033 4.271952 4.016423 4.326885 4.20834 4.172896 3.907184 4.249349 4.739112 4.129744 5.081807 4.260434 4.069366 3.973055 4.284346 4.477054 4.397171 3.785691 4.038283 4.378426 4.677274 4.100333 4.416866 4.223894 3.989887 4.313833 4.754385 4.608045 4.378568 3.957528 4.069642 4.042194 4.157793 4.112404 4.042228 4.5133 4.361147 4.14655 5.000429 4.531127 4.575102 4.561571 4.416779 5.915556 4.305706 4.311326 4.280437 3.98997 4.060461 3.990146 4.475706 4.19375 4.125445 4.554163 4.283495 4.51077 4.20351 4.055977 4.368095 4.359149 4.076107 4.368725 4.067448 4.205338 4.764337 4.382542 4.453006 3.85651 3.85651
TSs314A 4 4.330962 4.17446 4.34746 4.060508 4.051056 4.456125 4.232579 4.090168 0 4.099035 3.949183 4.015422 4.521253 4.094407 4.404423 4.170168 4.133411 3.704302 4.019408 4.19135 4.510523 4.201581 4.532316 4.1499 4.260858 4.686529 4.192466 4.281689 5.030027 4.002824 4.077578 4.600855 4.24954 4.395235 4.507158 4.256904 3.612159 4.802994 4.167743 4.161105 4.528997 4.144808 3.837092 4.188805 4.188131 4.093182 4.220141 3.97555 3.928886 3.999285 5.090831 4.100816 4.342638 4.242556 4.316444 4.558275 4.311936 4.344404 4.377959 4.291813 4.638025 4.129133 4.574049 4.596443 4.392577 3.839489 4.502127 4.288461 4.165308 3.980544 4.433102 4.492287 4.48459 4.180211 4.368219 4.34876 4.106015 4.50776 3.979281 4.473247 4.24835 4.616094 4.065739 4.17446 4.044335 4.188096 4.342285 4.218126 5.020369 5.342473 4.36185 4.075312 3.488765 4.216347 4.216347
TSs30 4 4.200942 4.002669 4.40915 3.837529 4.264615 4.364991 4.194632 4.194612 4.108256 0 4.244585 4.5212 4.372763 4.320706 4.267683 4.037067 4.089892 3.804798 4.17513 4.345037 4.001955 4.34865 4.037916 4.29761 4.256414 4.332626 4.408702 4.270835 4.173824 4.266462 4.279765 4.290348 4.335545 4.168685 4.170039 4.143267 5.0547 4.185768 4.399349 4.7967 4.20294 4.250832 4.054688 3.842369 4.26963 4.223513 4.434814 4.240822 4.313096 4.206237 4.365561 4.143785 4.199506 4.426186 4.533521 4.286789 4.12192 4.3713 4.439338 3.997842 3.936433 4.456745 4.250553 4.437124 3.968717 4.412617 4.383064 4.132849 4.881028 4.438465 4.244161 4.443933 4.442676 4.303112 4.235995 4.398811 4.385655 4.167996 3.973488 4.340284 4.185837 4.508632 4.552128 4.002669 4.597947 4.3587 4.430228 4.434584 4.215523 4.043566 4.462845 4.349024 4.278477 4.211969 4.211969
TSs291 4 3.648439 3.793061 4.062528 3.677736 3.849776 4.10889 4.57322 4.308733 3.960135 4.311663 0 3.908941 3.89935 3.561448 4.297161 3.754126 3.73582 5.040649 4.418414 4.054247 4.295569 4.09545 4.544626 4.525666 3.958307 4.34218 3.91389 4.350184 3.934194 4.261114 4.428238 4.035284 4.307645 4.443383 4.224593 4.230372 5.467448 4.563268 4.100866 4.133464 4.175576 5.040441 3.967 3.810339 3.883387 4.28106 5.759083 3.917437 5.200079 3.918788 3.883783 3.755535 3.963771 3.919708 4.635229 4.205215 4.329768 4.283032 4.22627 4.016539 4.173935 5.087157 4.246606 3.925048 3.803978 4.613676 4.022774 4.384264 4.863171 4.496541 4.511266 4.107017 4.092027 4.107291 4.191022 4.021821 5.707284 4.415957 4.81749 4.752301 4.252835 4.271705 4.789202 3.793061 4.694041 4.08608 4.186364 4.13841 4.357688 4.46619 5.060429 4.091477 5.482852 4.060159 4.060159
TSs157A 4 3.550419 3.641339 4.747622 4.064258 3.882422 4.08826 4.914386 3.910107 4.04683 4.539161 3.870928 0 4.30122 3.615669 4.584109 3.61765 4.367862 3.90303 3.786706 5.771956 4.140939 3.701506 4.351534 4.125685 4.428501 4.450619 4.193133 4.159311 5.155592 3.96083 5.705289 4.472661 5.45634 3.824614 3.788298 4.046946 3.584152 4.765484 5.322958 4.299986 5.039776 4.224845 4.141271 3.762543 4.443318 4.079001 4.124726 3.663821 4.023086 4.478484 5.215038 4.556765 3.921854 3.97386 4.072208 3.966973 5.198497 3.650737 5.012466 4.105056 4.182936 4.319202 3.94685 5.744436 5.015729 3.912909 5.08946 3.899708 4.381441 3.945522 4.313303 4.236851 4.104325 4.225041 4.472003 4.405117 4.643672 4.119074 3.600997 3.710919 3.93326 4.478526 4.57575 3.641339 4.997662 3.894277 4.099308 4.674888 4.44876 4.073753 4.066855 4.033429 3.694192 3.722631 3.722631
