Recipient num.regions TSs156A TSs361 TSs368 TSs49 TSs138B TSs22B TSs287 TSs383 TSs314A TSs30 TSs291 TSs157A TSs27 TSs363 TSs9 TSs151B TSs133 TSs155 TSs209 TSs136 TSs22A TSs357 TSs161 TSs11 TSs5A TSs131 TSs294 TSs378 TSs336 TSs111 TSs56 TSs3A TSs95 TSs2 TSs44C TSs201 TSs217 TSs168 TSs98 TSs116 TSs53 TSs63A TSs158 TSs269 TSs317 TSs49A TSs417 TSs195 TSs371 TSs23 TSs51 TSs59B TSs365 TSs224 TSs325 TSs119A TSs166 TSs297 TSs338 TSs293 TSs24 TSs334 TSs1A TSs266 TSs277 TSs60B TSs303 TSs120 TSs132 TSs78 TSs61 TSs60 TSs274 TSs10A TSs96 TSs282 TSs56A TSs296 TSs33 TSs311 TSs68 TSs104 TSs58 TSs358 TSs82 TSs15 TSs3 TSs4 TSs331 TSs314B TSs333 TSs7 TSs38 TSs10 TSs48
TSs156A 4 0 9.685853 3.59477 4.621589 7.07556 5.59483 3.782776 3.921024 4.744717 4.409411 3.243157 3.184343 4.702679 10.559469 3.877315 9.555318 7.496336 6.01012 3.866028 3.874524 3.981069 6.693648 3.946839 4.560329 5.174295 4.504973 5.217742 4.274544 5.207876 6.774919 3.631027 3.951006 4.074406 4.843494 5.490472 3.832973 3.973577 3.30463 3.331503 4.320844 3.634305 3.796309 5.646299 6.241752 4.04395 5.392573 3.908638 8.357155 3.867954 4.73381 3.349403 4.48283 6.116628 6.392604 3.211747 4.389521 3.422089 4.933506 3.897171 4.829003 4.183314 3.718188 4.899675 3.493841 4.543839 4.709147 2.947379 5.070041 3.327548 4.139693 3.540389 4.200409 5.077215 4.739587 3.74906 4.725706 3.807313 4.325445 4.721563 4.517616 4.482927 3.630984 3.681617 9.685853 3.809869 4.769141 3.902302 4.322667 4.127909 4.15895 3.83623 5.603444 3.995903 6.597951 6.597951
TSs361 4 9.686768 0 3.312265 4.488916 7.528666 5.342397 3.704127 4.010967 4.349524 4.009321 3.433545 3.300371 5.27933 8.646927 3.824173 15.708872 7.943389 6.391405 3.428665 3.649225 3.939965 9.110637 3.645885 3.669775 4.990652 4.612766 5.37977 3.540375 4.571691 6.601618 3.280101 3.566637 4.050171 4.426008 6.321754 3.405379 3.629499 3.25943 3.510475 3.677213 3.580399 3.887264 4.843559 6.803792 3.698273 4.359742 3.294416 7.879616 3.822477 4.814227 3.310084 4.713593 7.787332 6.276329 3.115882 4.636847 3.271564 4.523973 3.983578 4.36551 4.040819 3.507517 4.485993 3.681807 5.618295 4.144402 2.809042 4.66478 3.270722 3.070025 3.915585 4.101178 4.938389 4.885834 3.486513 4.642715 3.278424 4.119042 4.398139 3.612188 4.908866 3.77409 3.104727 15.878052 3.1425 4.725606 3.624496 4.340407 3.807691 4.310903 4.03427 5.379589 3.947185 6.206731 6.206731
TSs368 4 3.635091 3.325414 0 4.134463 3.659345 4.618087 4.937342 4.322181 4.773626 4.891908 4.011254 5.539771 4.439455 3.651929 7.141672 3.31653 4.145151 4.062 4.615543 5.108403 4.776361 4.579712 3.605572 4.858747 4.069444 4.547191 4.337241 4.34855 4.748214 3.481279 5.824138 6.412329 3.996139 5.333303 4.426918 6.062937 3.311607 4.708913 4.736399 3.735139 6.345876 4.324908 4.052654 3.80278 4.633545 4.127533 3.948278 3.639747 3.553471 4.169071 5.158206 5.703118 3.913775 4.30595 5.308791 3.920609 5.203143 4.067014 4.991494 4.523716 4.53587 4.154695 4.521157 5.395375 3.929986 4.39995 8.483118 4.383739 4.409458 4.173719 4.7122 6.815231 4.511255 5.339222 4.766546 8.05568 3.952757 4.976067 4.021821 5.416614 6.199625 4.915627 4.467285 3.325414 3.900212 5.031521 6.143068 4.830375 5.060621 6.780929 3.973008 4.154398 2.965182 4.271595 4.271595
TSs49 4 4.666425 4.479372 4.156643 0 4.534084 5.128961 4.899987 3.875069 4.227243 3.729862 3.51005 4.070461 4.40832 4.631372 3.690547 4.422378 5.056147 4.965018 6.038599 4.15665 5.16629 5.171144 4.688362 5.050175 4.372195 3.930449 5.112353 5.23641 4.39488 4.098937 3.885038 4.235503 4.502401 4.188503 4.377046 4.270756 3.721914 3.860143 4.137666 4.825426 4.078077 5.451539 4.987729 8.51577 7.590395 3.952566 3.826506 5.234668 4.30861 5.361909 4.847329 6.106493 4.439685 4.753894 4.345602 4.435449 4.457361 7.481854 4.380395 9.61045 5.331781 4.707426 4.669721 3.663808 4.949344 5.375295 4.301877 5.139439 3.967928 3.680917 3.955055 3.856503 4.318231 6.019158 4.86033 3.607598 3.881887 4.438514 5.451901 3.925362 3.548563 4.004891 3.94177 4.479372 4.424417 4.354691 3.975925 4.082479 4.574751 3.45657 5.84617 4.349865 4.018753 5.462102 5.462102
TSs138B 4 6.927347 7.465387 3.633002 4.478362 0 5.733846 4.211719 4.317231 4.049626 4.51551 3.545646 3.686149 4.614963 7.977408 4.011603 7.35667 6.935727 6.11434 3.679046 4.020658 4.180046 5.893347 3.717515 4.341748 5.521664 4.291991 4.865989 3.834928 4.576319 6.682504 4.006746 3.914138 4.003196 4.399102 5.675511 3.679294 4.299119 4.33903 3.455852 5.200931 4.050809 3.781256 5.476029 5.842051 4.465867 5.665252 3.300259 7.617973 4.060473 4.836467 3.456398 4.641561 6.806723 5.610521 3.235902 4.992898 3.004947 4.747344 4.166058 4.458494 4.021404 3.699583 5.235855 4.144625 4.97113 4.422998 3.72174 4.645719 3.821441 3.849696 4.103408 4.174408 5.33889 4.536437 3.819689 4.879582 3.821391 4.534081 3.951829 3.992172 4.566077 3.677725 3.51081 7.465387 3.356125 4.509087 4.059747 4.54426 4.076109 4.224008 4.208013 5.106645 4.650392 6.877502 6.877502
TSs22B 4 5.589772 5.384446 4.576794 5.067088 5.785022 0 4.646885 3.954417 4.952641 4.718582 4.153862 4.04764 4.880965 5.881213 5.02907 5.309821 5.232543 4.909095 4.030224 4.324283 6.138916 4.724219 4.372087 4.533585 4.642562 4.815167 4.470791 4.37011 4.435715 4.690764 4.569475 4.063017 4.069781 6.50645 5.194062 3.921963 4.358486 3.809273 3.560886 5.076448 4.777089 4.072606 4.273428 5.533663 4.352403 4.41565 3.954283 5.60132 3.763175 4.857927 4.299862 5.623003 4.648113 4.7815 3.852616 4.34468 3.609177 4.848632 4.938585 4.740721 4.248082 3.932068 6.009071 3.999085 4.193455 4.999658 3.968844 4.067995 4.232394 4.034703 3.799354 5.182329 4.447848 4.969586 4.082965 6.365341 3.600185 5.067938 4.822107 4.90432 6.212841 3.979564 4.177861 5.384446 3.877105 4.652699 5.11654 4.930553 4.21186 5.024905 4.147725 5.022186 3.620699 5.358001 5.358001
TSs287 4 3.817203 3.73658 5.011306 4.828464 4.296598 4.676546 0 4.393073 4.414672 4.368944 4.984298 5.945789 4.355975 4.035533 5.172055 3.656627 4.08246 4.078002 5.065021 7.98867 4.354354 4.081302 5.277145 5.040694 4.457684 4.70031 4.679346 4.554172 4.819585 4.109408 5.444092 4.432965 4.47029 4.352421 4.291276 4.409623 3.510852 4.759664 4.820928 3.86352 5.181231 4.387311 4.163603 4.687574 6.068566 4.50578 4.294057 4.209475 4.597403 4.728103 5.139063 4.970147 4.305891 4.105753 4.32406 4.433455 5.204705 3.795309 5.178453 5.097419 4.839376 4.979935 4.486077 5.387717 4.053258 4.932228 4.884664 5.115513 4.42254 3.96421 4.577731 4.867083 4.559615 4.8361 4.501539 4.987005 4.494094 4.702174 4.386309 4.982199 4.768759 4.900001 4.535458 3.73658 5.482481 4.367225 4.720646 4.708765 4.565703 5.161137 4.613504 4.245306 3.941173 4.319305 4.319305
TSs383 4 3.986747 4.220655 4.377668 3.939473 4.485375 4.111717 4.481379 0 4.463643 4.376993 4.631733 3.950673 4.335277 4.674104 4.741458 4.745842 3.872611 4.60746 4.585938 4.613129 3.910419 4.69438 4.508519 4.732839 4.364207 4.595767 4.322228 4.579891 4.053252 4.700472 4.459812 4.404802 3.821134 4.519376 5.65832 4.308611 6.786769 4.54506 4.151346 4.017363 4.605296 5.089956 4.885311 3.630467 4.094749 4.821793 5.610013 4.326264 4.927383 4.461695 4.001405 4.682374 5.72871 5.347123 4.831895 3.937247 4.174409 4.125608 4.350555 4.326207 4.107685 5.11525 4.757881 4.310459 7.108247 5.187071 5.267218 5.220535 4.93698 10.390415 4.699062 4.656808 4.65467 3.998145 4.133031 3.98747 5.075569 4.40755 4.275014 5.201781 4.596467 5.102677 4.480413 4.220655 4.860299 4.779901 4.178857 4.798663 4.143359 4.429219 5.736005 4.814249 5.087991 3.800112 3.800112
TSs314A 4 4.70304 4.368361 4.778912 4.161216 4.124162 5.003473 4.494875 4.199137 0 4.209658 3.920413 4.051004 5.123136 4.21403 4.907881 4.357914 4.299302 3.439543 4.107883 4.401541 5.102241 4.420761 5.258843 4.318781 4.540212 5.54071 4.39786 4.595706 6.372213 4.047324 4.175984 5.357499 4.580383 4.860425 5.209754 4.541234 3.265252 5.864874 4.371288 4.379277 5.172139 4.37423 3.685892 4.420234 4.416728 4.199902 4.481514 3.974199 3.893513 4.010238 7.140798 4.212362 4.864276 4.521739 4.701651 5.236875 4.697295 4.830145 4.815149 4.646352 5.491035 4.282051 5.294025 5.308615 4.910285 3.699576 5.21625 4.65007 4.376669 4.010295 4.96899 5.063509 5.058372 4.385614 4.855128 4.766075 4.229239 5.142287 3.975565 5.035334 4.529007 5.387005 4.141689 4.368361 4.091917 4.398511 4.718631 4.533563 6.470241 7.276479 4.863659 4.185138 3.072197 4.484031 4.484031
TSs30 4 4.436427 4.163022 4.89692 3.692745 4.643719 4.860332 4.401041 4.484518 4.221853 0 4.678294 5.150934 4.854368 4.717003 4.614354 4.211363 4.387007 3.629965 4.473897 4.761999 4.008685 4.750582 4.10621 4.681513 4.604206 4.775036 4.877068 4.640617 4.358704 4.600421 4.618936 4.660611 4.777574 4.375244 4.393317 4.305637 7.659456 4.445998 5.001361 5.974008 4.440326 4.549523 4.125669 3.769235 4.598168 4.480961 5.128402 4.549199 4.80876 4.43304 4.78615 4.410431 4.464702 5.120507 5.182275 4.611615 4.373283 4.803869 4.934262 4.03224 3.937161 5.004812 4.536455 5.001661 3.971881 4.94985 4.973518 4.282178 6.027195 5.19853 4.558744 5.018519 4.999914 4.64562 4.580463 5.286288 4.961778 4.354567 3.980529 4.815022 4.581673 5.101461 5.253785 4.163022 5.458737 4.769217 5.067604 4.922837 4.454713 4.117818 5.040464 4.770956 4.6726 4.447789 4.447789
