sample,cluster
TSs311,K01
TSs383,K01
TSs291,K01
TSs78,K01
TSs269,K02
TSs49,K02
TSs68,K03
TSs59B,K03
TSs22B,K03
TSs365,K04
TSs156A,K04
TSs138B,K04
TSs357,K04
TSs133,K04
TSs363,K04
TSs60B,K05
TSs4,K05
TSs136,K05
TSs3,K05
TSs314B,K06
TSs368,K06
TSs157A,K06
TSs266,K06
TSs53,K06
TSs282,K07
TSs111,K08
TSs155,K08
TSs38,K09
TSs217,K09
TSs33,K10
TSs297,K10
TSs293,K10
TSs378,K10
TSs336,K11
TSs331,K11
TSs116,K11
TSs274,K11
TSs294,K11
TSs131,K11
TSs338,K11
TSs161,K12
TSs56A,K12
TSs417,K12
TSs49A,K13
TSs277,K13
TSs44C,K13
TSs7,K13
TSs303,K14
TSs287,K14
TSs104,K14
TSs15,K14
TSs151B,K15
TSs358,K15
TSs361,K15
TSs48,K16
TSs168,K16
TSs30,K17
TSs56,K17
TSs3A,K18
TSs314A,K18
TSs24,K18
TSs317,K18
TSs51,K18
TSs158,K19
TSs120,K19
TSs23,K19
TSs61,K19
TSs27,K19
TSs63A,K19
TSs1A,K20
TSs2,K20
TSs296,K20
TSs22A,K20
TSs224,K21
TSs10,K21
TSs195,K21
TSs119A,K21
TSs5A,K21
TSs9,K22
TSs60,K22
TSs10A,K22
TSs96,K23
TSs11,K23
TSs82,K23
TSs58,K23
TSs132,K23
TSs334,K23
TSs333,K23
TSs201,K23
TSs209,K23
TSs371,K23
TSs325,K23
TSs166,K24
TSs95,K24
TSs98,K24
