group,trait,model,delta_r_mean,delta_r_ci_lo,delta_r_ci_hi,wilcoxon_p_raw
A_oxalates,Total_Oxalate,Multi-trait GBLUP,-8.18789480661053e-17,-2.848415947553917e-16,1.4749052673623787e-16,0.556640625
A_oxalates,Soluble_Oxalate,Multi-trait GBLUP,-4.9960036108132046e-17,-1.6653345369377348e-16,6.106226635438361e-17,0.49508575626006945
A_oxalates,Insoluble_Oxalate,Multi-trait GBLUP,-1.5352302762394742e-17,-2.771567697568145e-16,1.7208456881689927e-16,0.845703125
A_oxalates,Total_Oxalate,Multi-output XGB,-0.12074048604670795,-0.1738442542311645,-0.06076863084865795,0.009765625
A_oxalates,Soluble_Oxalate,Multi-output XGB,-0.12433146212168962,-0.15638366669725337,-0.09333358033475794,0.001953125
A_oxalates,Insoluble_Oxalate,Multi-output XGB,-0.12019880495598148,-0.17466301877113027,-0.06535079399009341,0.00390625
A_oxalates,Total_Oxalate,Shared-trunk MLP,-0.1660507880984575,-0.20101364706528005,-0.128114190330364,0.001953125
A_oxalates,Soluble_Oxalate,Shared-trunk MLP,-0.26262962596021105,-0.33487217094598815,-0.1882571732280619,0.001953125
A_oxalates,Insoluble_Oxalate,Shared-trunk MLP,-0.1857289140002319,-0.23800582376931592,-0.12879998421987252,0.001953125
B_prot_ox,Crude_Protein,Multi-trait GBLUP,-1.863093013199091e-16,-4.697804645292791e-16,1.2977466323782484e-16,0.275390625
B_prot_ox,Total_Oxalate,Multi-trait GBLUP,-4.848552115355176e-17,-2.0617188511984351e-16,1.4942908022064177e-16,0.322265625
B_prot_ox,Soluble_Oxalate,Multi-trait GBLUP,-3.8857805861880476e-17,-1.887379141862766e-16,9.43689570931383e-17,0.6322809371904612
B_prot_ox,Insoluble_Oxalate,Multi-trait GBLUP,1.1553258350005534e-16,-1.1103964969727543e-16,3.6152504601094644e-16,0.431640625
B_prot_ox,Crude_Protein,Multi-output XGB,-0.09375911086051099,-0.1734984145501148,0.008096142690884387,0.10546875
B_prot_ox,Total_Oxalate,Multi-output XGB,-0.12074048604670795,-0.1743558560782871,-0.05674690700738681,0.009765625
B_prot_ox,Soluble_Oxalate,Multi-output XGB,-0.12433146212168962,-0.15443439155939742,-0.0924227033280055,0.001953125
B_prot_ox,Insoluble_Oxalate,Multi-output XGB,-0.12019880495598148,-0.17277432913525634,-0.0627068754315027,0.00390625
B_prot_ox,Crude_Protein,Shared-trunk MLP,-0.06214004691880659,-0.1354977604211939,0.01452224299326191,0.193359375
B_prot_ox,Total_Oxalate,Shared-trunk MLP,-0.1678584777751548,-0.19796350111282082,-0.13625067906657096,0.001953125
B_prot_ox,Soluble_Oxalate,Shared-trunk MLP,-0.18394802406563046,-0.25804668204210035,-0.11726583358319356,0.001953125
B_prot_ox,Insoluble_Oxalate,Shared-trunk MLP,-0.20138829932199115,-0.2514453662685559,-0.14778093775536957,0.001953125
C_seed_size,Seed_Length,Multi-trait GBLUP,-5.266620473065587e-16,-1.1251763409880766e-15,4.633446404334042e-17,0.064453125
C_seed_size,Seed_Width,Multi-trait GBLUP,-7.706509042026965e-17,-5.924774559851186e-16,4.57471517265051e-16,0.845703125
C_seed_size,Seed_Thickness,Multi-trait GBLUP,-3.708838791638414e-16,-7.931415940687358e-16,8.922550198686674e-17,0.130859375
C_seed_size,Mass_of_Seeds,Multi-trait GBLUP,1.2264494975156027e-16,-2.341182803178299e-16,4.77048955893622e-16,0.5939546753269146
C_seed_size,Seed_Length,Multi-output XGB,-0.01261313745870683,-0.03671915572936531,0.012100988289000515,0.431640625
C_seed_size,Seed_Width,Multi-output XGB,0.06528549824425604,0.017395494211399666,0.10766136413596361,0.02734375
C_seed_size,Seed_Thickness,Multi-output XGB,0.0121874905511785,-0.023310989743684334,0.046862181147968404,0.556640625
C_seed_size,Mass_of_Seeds,Multi-output XGB,-0.05671836660420302,-0.08571483099636104,-0.026826318754466935,0.009765625
C_seed_size,Seed_Length,Shared-trunk MLP,-0.13595858366688668,-0.17647656896793343,-0.08831002795128388,0.001953125
C_seed_size,Seed_Width,Shared-trunk MLP,-0.06543384705608955,-0.10611493321590817,-0.02999899327109641,0.009765625
C_seed_size,Seed_Thickness,Shared-trunk MLP,-0.021247392335852225,-0.07402381270378791,0.028218698373336865,0.6953125
C_seed_size,Mass_of_Seeds,Shared-trunk MLP,0.05378456354145382,0.01636359333006605,0.09131836712196827,0.037109375
D_antiox,Antioxidant,Multi-trait GBLUP,-6.522560269672795e-17,-1.4988010832439614e-16,2.6367796834847467e-17,0.232421875
D_antiox,Flavonoid,Multi-trait GBLUP,-1.0269562977782698e-16,-2.3037127760972e-16,1.9428902930940238e-17,0.193359375
D_antiox,Phenol,Multi-trait GBLUP,1.160530005428484e-16,-2.2551405187698492e-17,2.631705617317514e-16,0.232421875
D_antiox,Antioxidant,Multi-output XGB,-0.09074110694079046,-0.1371771159174829,-0.03924114168928163,0.013671875
D_antiox,Flavonoid,Multi-output XGB,0.05236694131366152,0.011980013860548068,0.08776512098380923,0.037109375
D_antiox,Phenol,Multi-output XGB,-0.005676965034857051,-0.05164611503186039,0.0304948620904613,0.845703125
D_antiox,Antioxidant,Shared-trunk MLP,-0.12708496987744228,-0.1521951869982473,-0.1013051729948394,0.001953125
D_antiox,Flavonoid,Shared-trunk MLP,0.029125195440597485,0.00869713226154482,0.051729388201134124,0.013671875
D_antiox,Phenol,Shared-trunk MLP,-0.046245063936993056,-0.06866925302250441,-0.022742389747173974,0.009765625
