group,trait,model,n,r_mean,r_ci_lo,r_ci_hi,n_reps
A_oxalates,Total_Oxalate,Single RR-BLUP,41,0.14967069331646377,0.006024091327500166,0.3044808898528939,10
A_oxalates,Soluble_Oxalate,Single RR-BLUP,41,0.4632189886669303,0.3796918708210396,0.5440412265717076,10
A_oxalates,Insoluble_Oxalate,Single RR-BLUP,41,0.12677362166354272,-0.09437266506670747,0.33786537780145215,10
A_oxalates,Total_Oxalate,Single XGBoost,41,0.028930207269755804,-0.13614001377659374,0.2056601433039679,10
A_oxalates,Soluble_Oxalate,Single XGBoost,41,0.33888752654524074,0.2476281431007173,0.40607460758823755,10
A_oxalates,Insoluble_Oxalate,Single XGBoost,41,0.0065748167075612585,-0.1356622495896948,0.14583891046884695,10
A_oxalates,Total_Oxalate,Multi-trait GBLUP,41,0.14967069331646368,0.006024091327500057,0.304480889852894,10
A_oxalates,Soluble_Oxalate,Multi-trait GBLUP,41,0.46321898866693034,0.37969187082103945,0.5440412265717074,10
A_oxalates,Insoluble_Oxalate,Multi-trait GBLUP,41,0.12677362166354272,-0.09437266506670737,0.33786537780145215,10
A_oxalates,Total_Oxalate,Multi-output XGB,41,0.028930207269755804,-0.13614001377659374,0.2056601433039679,10
A_oxalates,Soluble_Oxalate,Multi-output XGB,41,0.33888752654524074,0.2476281431007173,0.40607460758823755,10
A_oxalates,Insoluble_Oxalate,Multi-output XGB,41,0.0065748167075612585,-0.1356622495896948,0.14583891046884695,10
A_oxalates,Total_Oxalate,Shared-trunk MLP,41,-0.016380094781993752,-0.16873439825681705,0.07920889508330314,10
A_oxalates,Soluble_Oxalate,Shared-trunk MLP,41,0.2005893627067193,0.02469493873544925,0.2929498726674288,10
A_oxalates,Insoluble_Oxalate,Shared-trunk MLP,41,-0.05895529233668917,-0.23922624136969556,0.04958592478950852,10
B_prot_ox,Crude_Protein,Single RR-BLUP,41,0.09601542626294693,0.018279145385018573,0.22918885807749326,10
B_prot_ox,Total_Oxalate,Single RR-BLUP,41,0.14967069331646377,0.006024091327500166,0.3044808898528939,10
B_prot_ox,Soluble_Oxalate,Single RR-BLUP,41,0.4632189886669303,0.3796918708210396,0.5440412265717076,10
B_prot_ox,Insoluble_Oxalate,Single RR-BLUP,41,0.12677362166354272,-0.09437266506670747,0.33786537780145215,10
B_prot_ox,Crude_Protein,Single XGBoost,41,0.0022563154024359488,-0.21132921936834737,0.3030303589094586,10
B_prot_ox,Total_Oxalate,Single XGBoost,41,0.028930207269755804,-0.13614001377659374,0.2056601433039679,10
B_prot_ox,Soluble_Oxalate,Single XGBoost,41,0.33888752654524074,0.2476281431007173,0.40607460758823755,10
B_prot_ox,Insoluble_Oxalate,Single XGBoost,41,0.0065748167075612585,-0.1356622495896948,0.14583891046884695,10
B_prot_ox,Crude_Protein,Multi-trait GBLUP,41,0.09601542626294675,0.018279145385018757,0.22918885807749276,10
B_prot_ox,Total_Oxalate,Multi-trait GBLUP,41,0.1496706933164637,0.006024091327500191,0.3044808898528936,10
B_prot_ox,Soluble_Oxalate,Multi-trait GBLUP,41,0.46321898866693034,0.3796918708210395,0.5440412265717073,10
B_prot_ox,Insoluble_Oxalate,Multi-trait GBLUP,41,0.12677362166354283,-0.09437266506670686,0.3378653778014525,10
B_prot_ox,Crude_Protein,Multi-output XGB,41,0.0022563154024359488,-0.21132921936834737,0.3030303589094586,10
B_prot_ox,Total_Oxalate,Multi-output XGB,41,0.028930207269755804,-0.13614001377659374,0.2056601433039679,10
B_prot_ox,Soluble_Oxalate,Multi-output XGB,41,0.33888752654524074,0.2476281431007173,0.40607460758823755,10
B_prot_ox,Insoluble_Oxalate,Multi-output XGB,41,0.0065748167075612585,-0.1356622495896948,0.14583891046884695,10
