group,trait,model,p_raw,p_holm,sig_holm_0.05
A_oxalates,Insoluble_Oxalate,Shared-trunk MLP,0.001953125,0.005859375,True
A_oxalates,Insoluble_Oxalate,Multi-output XGB,0.00390625,0.0078125,True
A_oxalates,Insoluble_Oxalate,Multi-trait GBLUP,0.845703125,0.845703125,False
A_oxalates,Soluble_Oxalate,Multi-output XGB,0.001953125,0.005859375,True
A_oxalates,Soluble_Oxalate,Shared-trunk MLP,0.001953125,0.00390625,True
A_oxalates,Soluble_Oxalate,Multi-trait GBLUP,0.49508575626006945,0.49508575626006945,False
A_oxalates,Total_Oxalate,Shared-trunk MLP,0.001953125,0.005859375,True
A_oxalates,Total_Oxalate,Multi-output XGB,0.009765625,0.01953125,True
A_oxalates,Total_Oxalate,Multi-trait GBLUP,0.556640625,0.556640625,False
B_prot_ox,Crude_Protein,Multi-output XGB,0.10546875,0.31640625,False
B_prot_ox,Crude_Protein,Shared-trunk MLP,0.193359375,0.38671875,False
B_prot_ox,Crude_Protein,Multi-trait GBLUP,0.275390625,0.275390625,False
B_prot_ox,Insoluble_Oxalate,Shared-trunk MLP,0.001953125,0.005859375,True
B_prot_ox,Insoluble_Oxalate,Multi-output XGB,0.00390625,0.0078125,True
B_prot_ox,Insoluble_Oxalate,Multi-trait GBLUP,0.431640625,0.431640625,False
B_prot_ox,Soluble_Oxalate,Multi-output XGB,0.001953125,0.005859375,True
B_prot_ox,Soluble_Oxalate,Shared-trunk MLP,0.001953125,0.00390625,True
B_prot_ox,Soluble_Oxalate,Multi-trait GBLUP,0.6322809371904612,0.6322809371904612,False
B_prot_ox,Total_Oxalate,Shared-trunk MLP,0.001953125,0.005859375,True
B_prot_ox,Total_Oxalate,Multi-output XGB,0.009765625,0.01953125,True
B_prot_ox,Total_Oxalate,Multi-trait GBLUP,0.322265625,0.322265625,False
C_seed_size,Mass_of_Seeds,Multi-output XGB,0.009765625,0.029296875,True
C_seed_size,Mass_of_Seeds,Shared-trunk MLP,0.037109375,0.07421875,False
C_seed_size,Mass_of_Seeds,Multi-trait GBLUP,0.5939546753269146,0.5939546753269146,False
C_seed_size,Seed_Length,Shared-trunk MLP,0.001953125,0.005859375,True
C_seed_size,Seed_Length,Multi-trait GBLUP,0.064453125,0.12890625,False
C_seed_size,Seed_Length,Multi-output XGB,0.431640625,0.431640625,False
C_seed_size,Seed_Thickness,Multi-trait GBLUP,0.130859375,0.392578125,False
C_seed_size,Seed_Thickness,Multi-output XGB,0.556640625,1.0,False
C_seed_size,Seed_Thickness,Shared-trunk MLP,0.6953125,0.6953125,False
C_seed_size,Seed_Width,Shared-trunk MLP,0.009765625,0.029296875,True
C_seed_size,Seed_Width,Multi-output XGB,0.02734375,0.0546875,False
C_seed_size,Seed_Width,Multi-trait GBLUP,0.845703125,0.845703125,False
D_antiox,Antioxidant,Shared-trunk MLP,0.001953125,0.005859375,True
D_antiox,Antioxidant,Multi-output XGB,0.013671875,0.02734375,True
D_antiox,Antioxidant,Multi-trait GBLUP,0.232421875,0.232421875,False
D_antiox,Flavonoid,Shared-trunk MLP,0.013671875,0.041015625,True
D_antiox,Flavonoid,Multi-output XGB,0.037109375,0.07421875,False
D_antiox,Flavonoid,Multi-trait GBLUP,0.193359375,0.193359375,False
D_antiox,Phenol,Shared-trunk MLP,0.009765625,0.029296875,True
D_antiox,Phenol,Multi-trait GBLUP,0.232421875,0.46484375,False
D_antiox,Phenol,Multi-output XGB,0.845703125,0.845703125,False
