n_sub,rep_i,rep_j,n_shared,ari_k24
40,0,2,20,1.0
40,0,28,22,0.60431654676259
40,0,36,21,0.662379421221865
40,1,6,22,0.7688844422211105
40,1,8,20,1.0
40,1,29,20,0.3897216274089936
40,1,32,21,0.6601941747572816
40,2,3,21,0.7619047619047619
40,2,12,21,0.9308755760368663
40,2,23,21,0.7451456310679612
40,2,26,20,0.9203688181056161
40,2,33,20,0.8545176110260337
40,2,34,20,1.0
40,2,36,20,0.5891891891891892
40,2,46,21,0.9116161616161617
40,2,49,20,0.9203688181056161
40,3,10,21,0.8285714285714286
40,3,15,23,0.7727680977186995
40,3,17,21,1.0
40,3,19,20,0.9064039408866995
40,3,26,20,0.39232409381663114
40,3,35,20,0.602510460251046
40,3,37,22,0.7411764705882353
40,3,44,21,0.7400990099009901
40,4,14,22,0.5911504424778761
40,4,23,20,0.6594982078853047
40,4,32,22,1.0
40,4,46,20,0.7948164146868251
40,5,7,22,0.816812053925456
40,5,18,20,0.6018440905280805
40,5,19,24,0.9129062795834648
40,5,33,20,0.6561085972850679
40,5,35,21,0.8839779005524862
40,5,44,21,0.9206349206349206
40,6,16,20,0.9203688181056161
40,6,21,20,0.8862275449101796
40,6,33,20,0.9203688181056161
40,6,36,20,0.4324970131421744
40,6,45,21,0.8950524737631185
40,6,46,20,0.6095890410958904
40,7,16,22,0.6607929515418502
40,7,23,20,0.9306062819576333
40,7,30,21,0.8839779005524862
40,7,39,22,0.7508090614886731
40,8,16,20,1.0
40,8,17,20,0.7890061077179344
40,9,15,21,0.6571428571428571
40,9,19,21,1.0
40,9,20,20,0.5909580193756727
40,9,32,20,0.0
40,9,39,20,0.38088341781317886
40,9,48,22,0.9068923821039904
40,10,19,21,0.9065559181251854
40,10,24,20,1.0
40,10,29,20,0.8834355828220859
40,10,30,21,0.7926267281105991
40,10,35,21,0.8163265306122449
40,10,36,21,0.35356200527704484
40,11,12,22,0.8091697645600991
40,11,18,20,0.7042801556420234
40,11,22,22,0.835509138381201
40,11,49,20,0.6085164835164835
40,12,22,20,0.9384316267012314
40,12,31,21,0.9206349206349206
40,12,34,20,1.0
40,12,38,21,0.7928994082840237
40,12,44,20,1.0
40,12,49,20,0.6921581335061568
40,13,16,20,0.6643109540636042
40,13,26,20,0.5648854961832062
40,13,36,22,0.6577777777777778
40,13,42,20,0.6594982078853047
40,13,44,20,0.38444924406047515
40,13,46,20,0.4960212201591512
40,14,16,20,0.661319073083779
40,14,17,20,0.24302788844621515
40,14,25,21,0.5860709592641261
40,14,42,20,0.5163636363636364
40,15,19,21,0.9234972677595629
40,15,30,20,0.9496021220159151
40,15,34,20,0.8804028535459505
40,15,37,21,0.9387040280210157
40,15,44,20,0.9446064139941691
40,16,30,22,0.8290155440414507
40,16,35,20,0.9064039408866995
40,16,36,21,0.5333333333333333
40,16,41,20,0.7449664429530202
40,16,43,20,0.8545176110260337
40,17,18,21,0.72
40,17,19,22,0.8504854368932039
40,17,38,21,0.6601941747572816
40,17,45,20,0.7611064543168483
40,18,19,21,0.6938775510204082
40,18,22,21,1.0
40,18,25,23,0.9189362383851329
40,18,27,20,0.9174272055627988
