n_sub,rep,k,silhouette,is_best_k
40,0,2,0.11627521858385234,False
40,0,3,0.11482087246869217,False
40,0,5,0.12713980815786896,False
40,0,8,0.12355116266030067,False
40,0,10,0.12659412137687998,False
40,0,15,0.19419454459396962,False
40,0,20,0.20263729192897087,True
40,0,24,0.19458589660077588,False
40,0,28,0.17918874877583935,False
40,1,2,0.10797286205808254,False
40,1,3,0.12494602726880721,False
40,1,5,0.11715226806661945,False
40,1,8,0.0974466999284807,False
40,1,10,0.11700891117638404,False
40,1,15,0.13543793594336387,False
40,1,20,0.15782421455236012,False
40,1,24,0.15258262193271835,False
40,1,28,0.16389491066634826,True
40,2,2,0.15800080832623092,False
40,2,3,0.20348469866661856,False
40,2,5,0.19820156475169412,False
40,2,8,0.20500316910518293,False
40,2,10,0.21577392847717602,False
40,2,15,0.2607728294275178,False
40,2,20,0.27116699233566954,False
40,2,24,0.293342605558356,True
40,2,28,0.21490471002316403,False
40,3,2,0.06184114600210562,False
40,3,3,0.05572406919903532,False
40,3,5,0.0651326306202227,False
40,3,8,0.06362627687016789,False
40,3,10,0.06709930000182356,False
40,3,15,0.0828641874252595,False
40,3,20,0.08703771315512406,True
40,3,24,0.08412030878245572,False
40,3,28,0.08058586916689843,False
40,4,2,0.12535946999882813,False
40,4,3,0.11861238605779079,False
40,4,5,0.0941043778520438,False
40,4,8,0.10779073523926952,False
40,4,10,0.12354588516088345,False
40,4,15,0.11671937353878117,False
40,4,20,0.13132852173164347,False
40,4,24,0.1415236621807068,True
40,4,28,0.12581169452916502,False
40,5,2,0.1451588086538346,False
40,5,3,0.12939636024284465,False
40,5,5,0.1554183048881771,False
40,5,8,0.13909144816740704,False
40,5,10,0.14750168575640102,False
40,5,15,0.14594025250282244,False
40,5,20,0.16967384361229362,False
40,5,24,0.1775028745878538,True
40,5,28,0.1569813022329753,False
40,6,2,0.1580298508256792,False
40,6,3,0.1517078429533087,False
40,6,5,0.15404305331973345,False
40,6,8,0.1761885900488881,False
40,6,10,0.16952097872691757,False
40,6,15,0.21534716173081553,True
40,6,20,0.19780766623966256,False
40,6,24,0.18219966956055098,False
40,6,28,0.1693176147127561,False
40,7,2,0.11250638942941005,False
40,7,3,0.1324274990884529,False
40,7,5,0.12458522876911995,False
40,7,8,0.13897342609352242,False
40,7,10,0.1816239318448996,False
40,7,15,0.2195069041177696,False
40,7,20,0.23780487296134192,False
40,7,24,0.23921943490150577,True
40,7,28,0.20684935572606475,False
40,8,2,0.13611999384010048,False
40,8,3,0.11182272726972695,False
40,8,5,0.11552873856942511,False
40,8,8,0.13269957555716813,False
40,8,10,0.1375233264079398,False
40,8,15,0.17824550602545178,True
40,8,20,0.16939842295827887,False
40,8,24,0.15503701740229453,False
40,8,28,0.13796721733111733,False
40,9,2,0.1444089894416422,False
40,9,3,0.13112214433480554,False
40,9,5,0.11536398354735558,False
40,9,8,0.14677698139191614,False
40,9,10,0.18317636517955277,False
40,9,15,0.153575355130709,False
40,9,20,0.18631153381251728,True
40,9,24,0.17490590482921084,False
40,9,28,0.1624869203604394,False
40,10,2,0.08200640524445482,False
40,10,3,0.08374197492354876,False
40,10,5,0.07331372767011898,False
40,10,8,0.07321885201073415,False
40,10,10,0.07121776980279974,False
40,10,15,0.07062444712555252,False
40,10,20,0.08840183252552826,True
40,10,24,0.08750150454559355,False
40,10,28,0.08222653192553611,False
40,11,2,0.06479563484023955,False
40,11,3,0.06509969050816607,False
40,11,5,0.059667650963535344,False
40,11,8,0.07125530479502853,False
40,11,10,0.0626916007569082,False
40,11,15,0.06690667461300179,False
40,11,20,0.06364079275704185,False
40,11,24,0.07612712170000283,True
40,11,28,0.06700408231344121,False
40,12,2,0.07762041305200955,False
40,12,3,0.06960113580029732,False
40,12,5,0.06291958068643863,False
40,12,8,0.07583892077363626,False
40,12,10,0.08388977255471468,False
40,12,15,0.08496751926730425,False
40,12,20,0.09229790877885982,True
40,12,24,0.08334095606275142,False
40,12,28,0.07294454694750582,False
40,13,2,0.1378365812473661,False
40,13,3,0.11335735317764781,False
40,13,5,0.14833127941124785,False
40,13,8,0.17303322176690208,True
40,13,10,0.17226980635990022,False
40,13,15,0.16538413183165201,False
40,13,20,0.16586952786292247,False
40,13,24,0.16387406551922928,False
40,13,28,0.1470261304251666,False
40,14,2,0.11167503219029021,False
40,14,3,0.09849578588591491,False
40,14,5,0.10437201583574698,False
40,14,8,0.11262753475732387,False
40,14,10,0.12277118335651767,False
40,14,15,0.13527463015674288,True
40,14,20,0.12353036748702557,False
40,14,24,0.12447499631382027,False
40,14,28,0.12078001841134241,False
40,15,2,0.08099639714878999,False
40,15,3,0.07532672274488253,False
40,15,5,0.07891211944952117,False
40,15,8,0.07829071886184873,False
40,15,10,0.08572459444648109,True
40,15,15,0.0785337222116215,False
40,15,20,0.07541415822403671,False
40,15,24,0.08085248633158182,False
40,15,28,0.06896438199236452,False
40,16,2,0.09145648634800546,False
40,16,3,0.09747964941930928,False
40,16,5,0.09981567362216352,False
40,16,8,0.10353853924407423,False
40,16,10,0.10113183634397531,False
40,16,15,0.10608762222325789,False
40,16,20,0.1237953116767669,False
40,16,24,0.1399891014125114,True
40,16,28,0.11995413032031352,False
40,17,2,0.10508478808472099,False
40,17,3,0.1048495475701305,False
40,17,5,0.11735936743161876,False
40,17,8,0.1351841740677467,False
40,17,10,0.15279361891211257,False
40,17,15,0.15929071438718378,True
40,17,20,0.1558980236187837,False
40,17,24,0.15523653107668572,False
40,17,28,0.15483935628707113,False
40,18,2,0.07455542928642114,False
40,18,3,0.07480476745423288,False
40,18,5,0.07822256359487942,False
40,18,8,0.07425394814865789,False
40,18,10,0.07952799475212567,True
40,18,15,0.0778764417211607,False
40,18,20,0.07740329949389699,False
40,18,24,0.07520882068881733,False
40,18,28,0.0745316258303034,False
40,19,2,0.09056111380733331,True
40,19,3,0.08193117622018913,False
40,19,5,0.0843395790999259,False
40,19,8,0.07958870554463435,False
40,19,10,0.08400610141068174,False
40,19,15,0.08517014320759353,False
40,19,20,0.07559012247529077,False
40,19,24,0.07721912373522297,False
40,19,28,0.0746015340492555,False
40,20,2,0.1387825414457351,True
40,20,3,0.10553869563399285,False
40,20,5,0.1313365959887584,False
40,20,8,0.12286124907729398,False
40,20,10,0.13359621360558482,False
40,20,15,0.13492088052793058,False
40,20,20,0.11294158699448979,False
40,20,24,0.13158517285603727,False
40,20,28,0.11395614376074326,False
40,21,2,0.18803773347145855,False
40,21,3,0.16383053790629828,False
40,21,5,0.1918386950903958,False
40,21,8,0.18951713189184383,False
40,21,10,0.16406441939507024,False
40,21,15,0.16505315325957284,False
40,21,20,0.1524914348401619,False
40,21,24,0.2195687196845287,False
40,21,28,0.24576420503124546,True
40,22,2,0.05689202141683192,False
40,22,3,0.05573094025967336,False
40,22,5,0.052664562987152844,False
40,22,8,0.06269373555629411,False
40,22,10,0.0648250466708211,False
40,22,15,0.07099220545163346,True
40,22,20,0.06106449194647231,False
40,22,24,0.05586868911413421,False
40,22,28,0.04920458719950944,False
40,23,2,0.16448463427113205,False
40,23,3,0.11876156163850668,False
40,23,5,0.1467973921766102,False
40,23,8,0.16286793669734362,False
40,23,10,0.16835587696385484,False
40,23,15,0.16553203057542884,False
40,23,20,0.20851954360050554,False
40,23,24,0.23516840316571103,True
40,23,28,0.19919159045922852,False
40,24,2,0.13338071998829765,False
40,24,3,0.13986289248623504,False
40,24,5,0.14493175858343538,False
40,24,8,0.16218845872540005,True
40,24,10,0.15384144582798703,False
40,24,15,0.15951434056988695,False
40,24,20,0.1340625884691024,False
40,24,24,0.13215340142440776,False
40,24,28,0.11050270187042222,False
40,25,2,0.06615029583676327,False
40,25,3,0.06711568800135041,False
40,25,5,0.07187423615433805,False
40,25,8,0.07322056786565644,False
40,25,10,0.08055858002469715,False
40,25,15,0.08649884235347446,False
40,25,20,0.09103905420617557,True
40,25,24,0.08754251713076966,False
40,25,28,0.0896199659118268,False
40,26,2,0.08918224500278489,False
40,26,3,0.10235060955876327,False
40,26,5,0.12439550655866408,False
40,26,8,0.1162483452934282,False
40,26,10,0.14682086047507656,False
40,26,15,0.2292601566880747,False
40,26,20,0.2462136814544412,False
40,26,24,0.27166318119527366,True
40,26,28,0.24776425201334162,False
40,27,2,0.07241341683026635,False
40,27,3,0.06455287491252518,False
40,27,5,0.06512922901377152,False
40,27,8,0.06661553783078066,False
40,27,10,0.06799010577462747,False
40,27,15,0.07771692290487545,True
40,27,20,0.07082222188884299,False
40,27,24,0.07372296821844937,False
40,27,28,0.0756785424765852,False
40,28,2,0.14402276330941557,False
40,28,3,0.133392374831295,False
40,28,5,0.14027523266249511,False
40,28,8,0.11800580682193869,False
40,28,10,0.14564409576973222,False
40,28,15,0.14040063583770082,False
40,28,20,0.146941056202783,False
40,28,24,0.1488065410216283,True
40,28,28,0.1399722906292797,False
40,29,2,0.12761310110409094,False
40,29,3,0.12269256458361928,False
40,29,5,0.13110169230684265,False
40,29,8,0.13972730019206803,False
40,29,10,0.15015724350579132,False
40,29,15,0.1551207121410698,False
40,29,20,0.1766272561950021,True
40,29,24,0.15703213672993338,False
40,29,28,0.132111107456962,False
40,30,2,0.13450143337371187,False
40,30,3,0.14369668997746393,False
40,30,5,0.14350876762961481,False
40,30,8,0.14655795984155637,False
40,30,10,0.16342793922999935,False
40,30,15,0.17935538190471337,False
40,30,20,0.191243719117257,True
40,30,24,0.16948155652897406,False
40,30,28,0.14112877415589004,False
40,31,2,0.06523008052697378,False
40,31,3,0.07030115720113572,False
40,31,5,0.07601496885883174,False
40,31,8,0.06985372805053204,False
40,31,10,0.07057715987597649,False
40,31,15,0.0716956418733669,False
40,31,20,0.06844304278745264,False
40,31,24,0.08083753630920214,True
40,31,28,0.0649978608514743,False
40,32,2,0.09078360320762838,False
40,32,3,0.08852726816625134,False
40,32,5,0.10275913152149782,False
40,32,8,0.12056636029633891,False
40,32,10,0.11928085427076443,False
40,32,15,0.1724065197981926,False
40,32,20,0.19525491423801764,False
40,32,24,0.20932828154603705,True
40,32,28,0.18360885925005088,False
40,33,2,0.16293825369973688,False
40,33,3,0.14114372099682945,False
40,33,5,0.15691089289585156,False
40,33,8,0.16444087902525478,False
40,33,10,0.17154938269540637,False
40,33,15,0.2075411377012299,False
40,33,20,0.25980471377223663,True
40,33,24,0.246547757756229,False
40,33,28,0.20757627027602008,False
40,34,2,0.10455519522760914,True
40,34,3,0.09885721496274355,False
40,34,5,0.0935984504773049,False
40,34,8,0.09713389623724308,False
40,34,10,0.09480074728429713,False
40,34,15,0.08287906443303106,False
40,34,20,0.08048012803007387,False
40,34,24,0.07385331857017781,False
40,34,28,0.06878994984396078,False
40,35,2,0.059712570614083846,False
40,35,3,0.062139584326544414,False
40,35,5,0.0750720393206428,False
40,35,8,0.06747251212450647,False
40,35,10,0.06615044298311668,False
40,35,15,0.07605575277128175,False
40,35,20,0.07634527602772508,False
40,35,24,0.07966839763556617,True
40,35,28,0.07476989957233213,False
40,36,2,0.13831871004172921,False
40,36,3,0.1610147435149244,False
40,36,5,0.1591910282121291,False
40,36,8,0.17713837490553458,False
40,36,10,0.17179430341021146,False
40,36,15,0.21111244000507842,False
40,36,20,0.21019865393360132,False
40,36,24,0.24624245146322005,False
40,36,28,0.26740643195912384,True
40,37,2,0.1424453230955134,False
40,37,3,0.1445628080145463,False
40,37,5,0.133936412716876,False
40,37,8,0.12921329147902555,False
40,37,10,0.16583213784240208,False
40,37,15,0.1795874260206219,True
40,37,20,0.16796927024572592,False
40,37,24,0.15728692189662213,False
40,37,28,0.13738342483739227,False
40,38,2,0.04913179989108802,False
40,38,3,0.044489301716453857,False
40,38,5,0.051874379101629356,False
40,38,8,0.05831723430180635,False
40,38,10,0.08094128647858798,False
40,38,15,0.07171319818489466,False
40,38,20,0.08091390783523969,False
40,38,24,0.08458125833506983,True
