chr,n_windows,pi_median,theta_w_per_site_median,tajima_d_median,frac_d_gt_0,frac_d_gt_2
Ss01,25,6.923251448980618e-06,2.748382561965059e-06,2.301697208990192,0.92,0.52
Ss02,27,6.408688387635756e-06,3.4354782024563236e-06,1.7400819154543152,0.8888888888888888,0.4074074074074074
Ss03,35,5.638540796435534e-06,3.4354782024563236e-06,1.2169073428674402,0.8,0.42857142857142855
Ss04,40,7.3087549265939475e-06,3.4354782024563236e-06,2.1277141836188713,1.0,0.55
Ss05,22,5.751824004455583e-06,3.4354782024563236e-06,1.2996032777755295,0.8181818181818182,0.2727272727272727
Ss06,18,6.014480646059594e-06,3.4354782024563236e-06,1.6770450016112757,1.0,0.3888888888888889
Ss07,11,9.879810637705374e-06,4.809669483438853e-06,1.6295971777446303,1.0,0.45454545454545453
Ss08,27,7.510999721526038e-06,4.122573842947588e-06,1.8709476826799585,0.9629629629629629,0.48148148148148145
Ss09,11,9.714062935115566e-06,3.4354782024563236e-06,2.773289527188441,1.0,0.7272727272727273
Ss10,31,6.546244628584693e-06,3.4354782024563236e-06,1.951363385425532,0.967741935483871,0.4838709677419355
Ss11,8,7.31777005250716e-06,3.4354782024563236e-06,1.8746279424858772,1.0,0.5
