trait,model,n_work,r_mean,r_ci_lo,r_ci_hi,rho_mean,mae_mean,rmse_mean,n_reps,h2_mle,h2_ci95_low,h2_ci95_high
Antioxidant,RR-BLUP,79,0.1175525183493432,0.0646495269217082,0.1770831638145518,0.1574780915287244,71.26492904888228,89.6339733085841,10,0.41,0.001,0.999
Crude_Protein,MLP,37,0.1482096245928507,0.0809900255451008,0.1985689885244258,0.1356092935040303,13.159382863397116,15.18100305821039,10,0.0078275862068965,0.001,0.62
Flavonoid,KernelRidge,79,-0.0341808726542582,-0.22670302367197,0.2497352531613426,-0.0232424537487828,102.06786866475753,115.2755837524952,10,0.001,0.001,0.22
Insoluble_Oxalate,RandomForest,37,0.1341512508866011,0.0130563029385358,0.401729378791732,0.1468946252481514,198.05339059981384,239.0770072333783,10,0.0180689655172413,0.001,0.81
Mass_of_Seeds,KernelRidge,81,0.0591242474137445,-0.1415264990442054,0.1989749488130789,0.1041198290431513,0.095034835342143,0.1199644873643517,10,0.22,0.001,0.59
Phenol,KernelRidge,79,0.0828356797615868,-0.0606500535067925,0.1858404025340951,0.0113437195715676,190.56151422713825,232.91868326575096,10,0.001,0.001,0.31
Seed_Coat_Tannin,RR-BLUP,81,0.0647165927459511,-0.0318930541225411,0.1075168128774377,0.0809214092140921,180.95137032505997,226.9841256126041,10,0.001,0.001,0.68
Seed_Length,RandomForest,81,0.2093855462434803,0.1264892104569375,0.2747277763460481,0.2566192411924118,0.4042655351385143,0.5242468549355512,10,0.26,0.0044137931034482,0.66
Seed_Thickness,LightGBM,81,0.1597938190431283,0.0606882241183237,0.3048171619944594,0.1673461332413883,0.3341568304804013,0.4104631171410141,10,0.19,0.001,0.55
Seed_Width,KernelRidge,81,0.0915946305579983,0.0141411506329194,0.1633819228115836,0.0835007368130755,1.4673455442727414,1.81736361060356,10,0.11,0.001,0.52
Soluble_Oxalate,RR-BLUP,37,0.2801917814303819,0.1758300164692654,0.3979778960183835,0.2892366050260787,64.73813941535522,81.12986744536505,10,0.999,0.14,0.999
Tannin,KernelRidge,79,-0.028974827375287,-0.1613314346095772,0.0756119621755641,-0.0647857838364167,298.28068781172635,363.9957183374598,10,0.001,0.001,0.2299999999999999
Total_Oxalate,ElasticNet,37,0.1713237461383307,0.0371480687153035,0.291843185597002,0.1737316263632052,181.49886621095465,223.68512870772037,10,0.1699999999999999,0.001,0.9130689655172414
