k,observed,expected_neutral,obs_minus_exp,log2_ratio
1,0,254.84049256766733,-254.84049256766733,-8.996278532040899
2,1,128.10530137138116,-127.10530137138116,-6.421843803761115
3,0,85.86517497325006,-85.86517497325006,-7.4323777866563345
4,2,64.74887514966548,-62.74887514966548,-4.70595303072486
5,2,52.08215531164349,-50.08215531164349,-4.3945732783897995
6,3,43.64026750014083,-40.64026750014083,-3.656668545536484
7,10,37.612606243215296,-27.612606243215296,-1.8598789390253887
8,10,33.09386952094013,-23.09386952094013,-1.6778086545564324
9,25,29.58111242095207,-4.581112420952071,-0.23836067280760354
10,47,26.772568601209997,20.227431398790003,0.8004769300325214
11,39,24.476205500849407,14.523794499150593,0.6612983405122799
12,50,22.56400194609554,27.43599805390446,1.1306405241871738
13,33,20.947328400067597,12.052671599932403,0.6433631468675308
14,43,19.562878534545888,23.437121465454112,1.1164867885514576
15,39,18.364228173469666,20.635771826530334,1.0661995795444197
16,26,17.31655963305007,8.683440366949931,0.5727735794670386
17,23,16.393248059908423,6.606751940091577,0.4762140154236561
18,22,15.573585656913002,6.426414343086998,0.48523320357973854
19,24,14.84122457494668,9.15877542505332,0.6753681022611744
20,22,14.183086937545772,7.816913062454228,0.6157696925726072
21,14,13.588586287469,0.4114137125309991,0.04152604788176147
22,36,13.049061366416701,22.9509386335833,1.4297035540312686
23,23,12.557357604783606,10.442642395216394,0.8477977861065411
24,19,12.107513239368341,6.892486760631659,0.6291903836797668
25,19,11.694520763227922,7.3054792367720776,0.6772410617079436
26,23,11.314143425962438,11.685856574037562,0.9921457250167677
27,10,10.962772512112672,-0.9627725121126716,-0.1265667044851076
28,15,10.637315203159327,4.362684796840673,0.4768667215927138
29,17,10.335105640892168,6.664894359107832,0.6916417024655869
30,19,10.053833778513457,8.946166221486543,0.8857069574084191
31,14,9.791488002908112,4.208511997091888,0.49460130972696414
32,16,9.546308515655806,6.453691484344194,0.7158005394340861
33,18,9.316749190645902,8.683250809354098,0.914208009417007
34,15,9.101446163130976,5.898553836869024,0.6909445904650076
35,15,8.899191803950288,6.100808196049712,0.7216595994008947
36,18,8.70891303182635,9.29108696817365,1.0064224868518268
37,13,8.529653143038086,4.470346856961914,0.5802169317806855
38,18,8.360556510553296,9.639443489446704,1.062056051746898
39,12,8.200855637610356,3.7991443623896437,0.5226989079583063
40,11,8.049860153742195,2.9501398462578052,0.4276611333862698
41,19,7.906947421628304,11.093052578371696,1.2138201685746224
42,15,7.771554486326449,7.228445513673551,0.9060378275479141
43,11,7.64317114838072,3.35682885161928,0.49797123169827506
44,16,7.521333982031848,8.478666017968152,1.0405519363909261
45,13,7.405621151539051,5.594378848460949,0.7720086813205991
46,21,7.29564790418766,13.70435209581234,1.4635958229510289
47,9,7.191062639226466,1.808937360773534,0.30474457085737755
48,13,7.091543468772885,5.908456531227115,0.8304942662771923
49,14,6.996795200433679,7.003204799566321,0.9517070043936233
50,16,6.906546682630984,9.093453317369015,1.155593079542022
51,15,6.820548462881606,8.179451537118393,1.082244569659321
52,8,6.738570716933512,1.2614292830664882,0.23175798139426496
53,20,6.660401413019398,13.339598586980603,1.517511537192874
54,9,6.585844680784106,2.4141553192158938,0.42298767100716794
55,9,6.514719358872698,2.485280641127302,0.43754212701275486
56,12,6.4468576988844415,5.5531423011155585,0.8474956446556565
57,17,6.382104206529234,10.617895793470765,1.3464332798969885
58,11,6.320314603468673,4.679685396531327,0.7537236674826593
59,14,6.261354895566127,7.738645104433873,1.1006686206243141
60,17,6.205100535176275,10.794899464823725,1.3840240531205303
61,19,6.1514356667295464,12.848564333270453,1.5517364488161365
62,13,6.1002524462562455,6.8997475537437545,1.0323662964807299
63,16,6.051450426686196,9.948549573313805,1.3325797788552045
64,11,6.004936001783492,4.995063998216508,0.8220270928670197
65,9,5.960621902458261,3.0393780975417393,0.5562544673466966
66,18,5.918426739959487,12.081573260040514,1.5272336528000685
67,16,5.878274591113086,10.121725408886913,1.371227910964008
68,11,5.840094621342376,5.159905378657624,0.8590575843480482
69,17,5.8038207417067085,11.196179258293292,1.473056506695059
70,11,5.769391296628787,5.230608703371213,0.875236579371826
71,12,5.7367487793612355,6.2632512206387645,1.0030620424604892
72,19,5.705839572575884,13.294160427424117,1.6517758166847483
73,17,5.676613711751493,11.323386288248507,1.5024669102405122
74,12,5.649024669292768,6.350975330707232,1.0234985949916235
75,7,5.62302915754027,1.3769708424597296,0.29264504246306433
76,11,5.598586949031224,5.401413050968776,0.9150869490831832
77,11,5.575660712548706,5.424339287451294,0.9205206494149403
78,6,5.554215863654287,0.4457841363457131,0.10249960262688303
79,14,5.534220428539517,8.465779571460484,1.2648135963969631
80,13,5.515644920156689,7.484355079843311,1.1661680892449038
81,19,5.498462225701371,13.50153777429863,1.7008095220918074
82,12,5.482647504619626,6.517352495380374,1.063072127336511
83,11,5.4681780964031885,5.5318219035968115,0.9462713683586365
84,19,5.455033437517604,13.544966562482397,1.7112926100162862
85,9,5.443194986882214,3.5568050131177857,0.6766887991628164
86,6,5.4326461593882565,0.5673538406117435,0.13176397938817633
87,10,5.423372267002821,4.576627732997179,0.825898664540173
88,13,5.41536046706293,7.58463953293707,1.1904214167431741
89,10,5.408599717416161,4.591400282583839,0.8295011570295162
90,9,5.403080738112674,3.596919261887326,0.6864594393731331
91,14,5.398795979398866,8.601204020601134,1.2975604833334222
92,7,5.3957395958054555,1.6042604041945445,0.347217791008747
93,18,5.393907426163417,12.606092573836584,1.6502289649674793
94,8,2.6966484897099243,5.303351510290076,1.4109027302358812
