trait,n_used,n_groups,kruskal_H,p_raw,p_bh
Seed_Thickness,94,23,37.200206153302574,0.022486386043141154,0.22140711535593113
Seed_Length,94,23,35.53009932956172,0.0340763281002839,0.22140711535593113
Mass_of_Seeds,94,23,33.83166446095902,0.051093949697522574,0.22140711535593113
Seed_Width,94,23,29.36666136616736,0.13468724125643353,0.4377335340834089
Soluble_Oxalate,36,13,14.54384384384386,0.2673345069107606,0.6950697179679776
Tannin,92,23,24.382385566747416,0.32750949515343486,0.7096039061657755
Phenol,92,23,21.579788771303527,0.4851961631055063,0.9010785886245117
Antioxidant,92,23,20.258542649496405,0.5668710846412219,0.9211655125419856
Total_Oxalate,36,13,6.632432432432438,0.8809180916388889,0.9809436954281702
Insoluble_Oxalate,36,13,6.099549549549565,0.9109808053817245,0.9809436954281702
Seed_Coat_Tannin,94,23,13.675753988452755,0.9125866584817082,0.9809436954281702
Crude_Protein,91,23,11.908274334361352,0.9592445062573262,0.9809436954281702
Flavonoid,92,23,10.520168727952807,0.9809436954281702,0.9809436954281702
