cluster,mean,size,trait
K01,653.8609003537154,4,Tannin
K02,488.96953313515866,2,Tannin
K03,560.3482846476701,3,Tannin
K04,533.8018863698163,6,Tannin
K05,506.3766334547646,4,Tannin
K06,604.5112176651644,5,Tannin
K07,659.5726840927193,1,Tannin
K08,826.0110684638951,2,Tannin
K09,525.8452462380396,2,Tannin
K10,595.5813862466402,4,Tannin
K11,588.144001574732,6,Tannin
K12,579.9053738909004,3,Tannin
K13,497.93060924849914,4,Tannin
K14,620.7066394998592,4,Tannin
K15,650.5354995352952,2,Tannin
K16,451.6726617520688,2,Tannin
K17,875.3821617637707,2,Tannin
K18,629.5414541225532,5,Tannin
K19,640.5758012839477,6,Tannin
K20,560.8070539240763,4,Tannin
K21,477.86241694987586,5,Tannin
K22,458.2634482929748,3,Tannin
K23,382.7712201352797,11,Tannin
K24,799.8594666605609,3,Tannin
K01,125.49254639018574,4,Phenol
K02,177.16786480484794,2,Phenol
K03,170.8829985973545,3,Phenol
K04,168.31310490084667,6,Phenol
K05,237.0581488750877,4,Phenol
K06,223.78075978482656,5,Phenol
K07,145.36816826571487,1,Phenol
K08,170.30037872001714,2,Phenol
K09,222.18079731377082,2,Phenol
K10,324.8453067177871,4,Phenol
K11,179.69933355575282,6,Phenol
K12,226.00721860295275,3,Phenol
K13,297.5405399539926,4,Phenol
K14,207.56701748264248,4,Phenol
K15,383.32284489328595,2,Phenol
K16,174.5162026017559,2,Phenol
K17,146.96773839310202,2,Phenol
K18,142.18387613654778,5,Phenol
K19,190.26206639396995,6,Phenol
K20,254.75186838664987,4,Phenol
K21,203.6446160625071,5,Phenol
K22,363.88982786342484,3,Phenol
K23,208.44362046586875,11,Phenol
K24,124.84662067445582,3,Phenol
K01,110.5401473201683,4,Flavonoid
K02,127.41021029424185,2,Flavonoid
K03,138.2283317810111,3,Flavonoid
K04,119.17043976749778,6,Flavonoid
K05,130.47698450895922,4,Flavonoid
K06,154.85257613628679,5,Flavonoid
K07,91.31776346883004,1,Flavonoid
K08,134.4827676607925,2,Flavonoid
K09,150.9600677273712,2,Flavonoid
K10,141.71252129279705,4,Flavonoid
K11,105.17938035405363,6,Flavonoid
K12,134.75587003235668,3,Flavonoid
K13,119.58580110195315,4,Flavonoid
K14,135.83317737843916,4,Flavonoid
K15,127.44430130808652,2,Flavonoid
K16,133.0446819663886,2,Flavonoid
K17,130.18527355413312,2,Flavonoid
K18,138.1299963894893,5,Flavonoid
K19,133.6810918703926,6,Flavonoid
K20,146.9844186235882,4,Flavonoid
K21,137.40266135473985,5,Flavonoid
K22,125.3837649999507,3,Flavonoid
K23,111.1258176666304,11,Flavonoid
K24,146.84676396159796,3,Flavonoid
K01,199.97226304919323,4,Antioxidant
K02,219.6518083181927,2,Antioxidant
K03,296.58429873818795,3,Antioxidant
K04,261.9298530472441,6,Antioxidant
K05,256.0213416491853,4,Antioxidant
K06,284.36157720245325,5,Antioxidant
K07,333.891609437439,1,Antioxidant
K08,276.5384393647291,2,Antioxidant
K09,406.6669568549334,2,Antioxidant
K10,312.29327476741037,4,Antioxidant
K11,284.8966292154767,6,Antioxidant
K12,278.05885175534473,3,Antioxidant
K13,319.61384909673507,4,Antioxidant
K14,279.73240088712987,4,Antioxidant
K15,229.39673674461648,2,Antioxidant
K16,229.02116448753884,2,Antioxidant
K17,316.93533436332984,2,Antioxidant
K18,243.45085665187025,5,Antioxidant
K19,286.7154688398395,6,Antioxidant
K20,367.1731462262263,4,Antioxidant
K21,307.4854664023621,5,Antioxidant
K22,353.338305029801,3,Antioxidant
K23,233.83480210222248,11,Antioxidant
K24,302.3997303154104,3,Antioxidant
K01,9.157520443513222,4,Seed_Length
K02,8.450763616253905,2,Seed_Length
K03,8.570940322793833,3,Seed_Length
