trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,0,1,0.25404104484394596,0.0
Insoluble_Oxalate,RandomForest,0,2,0.23167340306976392,0.0
Insoluble_Oxalate,RandomForest,0,3,0.20929338380159093,0.0
Insoluble_Oxalate,RandomForest,0,4,0.26938941984342163,0.0
Insoluble_Oxalate,RandomForest,0,5,0.2474517379808129,0.0
Insoluble_Oxalate,RandomForest,0,6,0.2531035097997816,0.0
Insoluble_Oxalate,RandomForest,0,7,0.2329690968148787,0.0
Insoluble_Oxalate,RandomForest,0,8,0.2509448507975038,0.1111111111111111
Insoluble_Oxalate,RandomForest,0,9,0.3288087011601454,0.1111111111111111
Insoluble_Oxalate,RandomForest,0,10,0.2600791001847116,0.0
Insoluble_Oxalate,RandomForest,0,11,0.241693924093466,0.0
Insoluble_Oxalate,RandomForest,0,12,0.3046787234905316,0.0
Insoluble_Oxalate,RandomForest,0,13,0.2953497173395379,0.0
Insoluble_Oxalate,RandomForest,0,14,0.2684363416199527,0.0
Insoluble_Oxalate,RandomForest,0,15,0.2834775556546774,0.1111111111111111
Insoluble_Oxalate,RandomForest,0,16,0.252202296240469,0.0
Insoluble_Oxalate,RandomForest,0,17,0.23802807168655238,0.0
Insoluble_Oxalate,RandomForest,0,18,0.24862959943733576,0.0
Insoluble_Oxalate,RandomForest,0,19,0.2954516037468067,0.1111111111111111
Insoluble_Oxalate,RandomForest,0,20,0.2651089378874084,0.0
Insoluble_Oxalate,RandomForest,0,21,0.2939053342636495,0.0
Insoluble_Oxalate,RandomForest,0,22,0.15541513404523966,0.0
Insoluble_Oxalate,RandomForest,0,23,0.2285174972628847,0.1111111111111111
Insoluble_Oxalate,RandomForest,0,24,0.28162423427189937,0.0
Insoluble_Oxalate,RandomForest,0,25,0.18780428402237792,0.0
Insoluble_Oxalate,RandomForest,0,26,0.28150512396370647,0.0
Insoluble_Oxalate,RandomForest,0,27,0.2436724634317203,0.0
Insoluble_Oxalate,RandomForest,0,28,0.24070828014077789,0.0
Insoluble_Oxalate,RandomForest,0,29,0.20922262849759984,0.0
Insoluble_Oxalate,RandomForest,1,2,0.23283359877175883,0.0
Insoluble_Oxalate,RandomForest,1,3,0.29001922902139216,0.0
Insoluble_Oxalate,RandomForest,1,4,0.21933492642997665,0.0
Insoluble_Oxalate,RandomForest,1,5,0.27864326613709484,0.0
Insoluble_Oxalate,RandomForest,1,6,0.30256020884574136,0.0
Insoluble_Oxalate,RandomForest,1,7,0.2916790073395239,0.1111111111111111
Insoluble_Oxalate,RandomForest,1,8,0.2755157592121582,0.1111111111111111
Insoluble_Oxalate,RandomForest,1,9,0.1596479825048345,0.0
Insoluble_Oxalate,RandomForest,1,10,0.19002249258566856,0.0
