trait,model,rep,fold,thr_train_fold,n_pos_train,n_pos_test,n_test,auc,pr_auc,mcc,topk,p_pos_class
Tannin,LogReg,0,0,743.2414332900865,13,3,16,0.2051282051282051,0.154985754985755,-0.12403473458920847,0.0,3.0
Tannin,RandomForest,0,0,743.2414332900865,13,3,16,0.3076923076923076,0.17777777777777778,0.0,0.0,3.0
Tannin,MLP,0,0,743.2414332900865,13,3,16,0.4358974358974359,0.20555555555555557,-0.12403473458920847,0.0,3.0
Tannin,XGBoost,0,0,743.2414332900865,13,3,16,0.3333333333333333,0.1824074074074074,-0.18156825980064073,0.0,3.0
Tannin,LightGBM,0,0,743.2414332900865,13,3,16,0.4102564102564102,0.21666666666666667,0.09245003270420485,0.2,3.0
Tannin,LogReg,0,1,743.2414332900865,13,3,16,0.41025641025641024,0.2897727272727273,0.1794871794871795,0.2,3.0
Tannin,RandomForest,0,1,743.2414332900865,13,3,16,0.4871794871794871,0.3074074074074074,0.0,0.2,3.0
Tannin,MLP,0,1,743.2414332900865,13,3,16,0.3846153846153846,0.2847222222222222,0.30261376633440124,0.2,3.0
Tannin,XGBoost,0,1,743.2414332900865,13,3,16,0.4615384615384615,0.2222222222222222,0.0,0.0,3.0
Tannin,LightGBM,0,1,743.2414332900865,13,3,16,0.6153846153846154,0.3213675213675214,0.09245003270420485,0.4,3.0
Tannin,LogReg,0,2,743.2414332900865,13,3,16,0.5897435897435898,0.2935897435897436,0.2219167619785609,0.4,3.0
Tannin,RandomForest,0,2,743.2414332900865,13,3,16,0.3846153846153846,0.20138888888888887,0.0,0.0,3.0
Tannin,MLP,0,2,743.2414332900865,13,3,16,0.5641025641025641,0.27136752136752135,0.021591675854376522,0.2,3.0
Tannin,XGBoost,0,2,743.2414332900865,13,3,16,0.43589743589743585,0.22916666666666663,-0.12403473458920847,0.2,3.0
Tannin,LightGBM,0,2,743.2414332900865,13,3,16,0.3589743589743589,0.18514818514818515,-0.2773500981126145,0.0,3.0
Tannin,LogReg,0,3,724.921536219487,13,5,16,0.49090909090909085,0.3437698412698413,-0.16363636363636364,0.2,5.0
Tannin,RandomForest,0,3,724.921536219487,13,5,16,0.6545454545454545,0.456923076923077,0.0,0.4,5.0
Tannin,MLP,0,3,724.921536219487,13,5,16,0.5272727272727273,0.3447186147186147,-0.16363636363636364,0.2,5.0
Tannin,XGBoost,0,3,724.921536219487,13,5,16,0.2545454545454546,0.2532967032967033,-0.2548235957188128,0.0,5.0
Tannin,LightGBM,0,3,724.921536219487,13,5,16,0.12727272727272726,0.22632700632700634,-0.5222329678670935,0.0,5.0
Tannin,LogReg,0,4,738.2011254663246,13,3,15,0.3611111111111111,0.1994949494949495,-0.1336306209562122,0.0,3.0
Tannin,RandomForest,0,4,738.2011254663246,13,3,15,0.25,0.17727272727272728,0.0,0.0,3.0
Tannin,MLP,0,4,738.2011254663246,13,3,15,0.3888888888888889,0.21060606060606063,0.0,0.2,3.0
Tannin,XGBoost,0,4,738.2011254663246,13,3,15,0.08333333333333333,0.14761904761904762,0.0,0.0,3.0
Tannin,LightGBM,0,4,738.2011254663246,13,3,15,0.3055555555555556,0.18703703703703706,-0.19611613513818402,0.0,3.0
Tannin,LogReg,1,0,743.2414332900865,13,3,16,0.5641025641025641,0.3625,0.3670584895244009,0.4,3.0
Tannin,RandomForest,1,0,743.2414332900865,13,3,16,0.4615384615384615,0.22142857142857142,0.0,0.2,3.0
Tannin,MLP,1,0,743.2414332900865,13,3,16,0.5128205128205128,0.2611111111111111,-0.18156825980064073,0.2,3.0
Tannin,XGBoost,1,0,743.2414332900865,13,3,16,0.2564102564102564,0.16437728937728938,-0.12403473458920847,0.0,3.0
Tannin,LightGBM,1,0,743.2414332900865,13,3,16,0.5384615384615384,0.25,0.09245003270420485,0.2,3.0
Tannin,LogReg,1,1,743.2414332900865,13,3,16,0.6153846153846154,0.273015873015873,-0.18156825980064073,0.2,3.0
Tannin,RandomForest,1,1,743.2414332900865,13,3,16,0.5384615384615384,0.2388888888888889,0.0,0.0,3.0
Tannin,MLP,1,1,743.2414332900865,13,3,16,0.6666666666666667,0.31746031746031744,0.0,0.2,3.0
Tannin,XGBoost,1,1,743.2414332900865,13,3,16,0.3846153846153846,0.2,-0.12403473458920847,0.2,3.0
Tannin,LightGBM,1,1,743.2414332900865,13,3,16,0.41025641025641024,0.20419580419580421,0.021591675854376522,0.2,3.0
Tannin,LogReg,1,2,743.2414332900865,13,3,16,0.3846153846153846,0.1962962962962963,-0.32387513781564786,0.0,3.0
Tannin,RandomForest,1,2,743.2414332900865,13,3,16,0.3589743589743589,0.18571428571428572,0.0,0.0,3.0
Tannin,MLP,1,2,743.2414332900865,13,3,16,0.41025641025641024,0.21990740740740738,-0.18156825980064073,0.2,3.0
Tannin,XGBoost,1,2,743.2414332900865,13,3,16,0.282051282051282,0.1703703703703704,-0.18156825980064073,0.0,3.0
Tannin,LightGBM,1,2,743.2414332900865,13,3,16,0.2051282051282051,0.154985754985755,-0.2773500981126145,0.0,3.0
Tannin,LogReg,1,3,724.921536219487,13,5,16,0.6727272727272727,0.4723809523809524,-0.2548235957188128,0.6,5.0
Tannin,RandomForest,1,3,724.921536219487,13,5,16,0.6363636363636365,0.4246031746031746,0.0,0.4,5.0
Tannin,MLP,1,3,724.921536219487,13,5,16,0.5818181818181818,0.3815262515262515,-0.17407765595569785,0.4,5.0
Tannin,XGBoost,1,3,724.921536219487,13,5,16,0.4363636363636364,0.3158333333333333,0.0,0.2,5.0
Tannin,LightGBM,1,3,724.921536219487,13,5,16,0.3090909090909091,0.265974025974026,-0.17407765595569785,0.0,5.0
Tannin,LogReg,1,4,738.2011254663246,13,3,15,0.3055555555555555,0.28095238095238095,0.294174202707276,0.2,3.0
Tannin,RandomForest,1,4,738.2011254663246,13,3,15,0.41666666666666663,0.4606060606060606,0.0,0.2,3.0
Tannin,MLP,1,4,738.2011254663246,13,3,15,0.4166666666666667,0.22142857142857142,0.0,0.2,3.0
Tannin,XGBoost,1,4,738.2011254663246,13,3,15,0.3611111111111111,0.4512820512820513,0.0,0.2,3.0
Tannin,LightGBM,1,4,738.2011254663246,13,3,15,0.41666666666666663,0.2518518518518519,0.0,0.2,3.0
Tannin,LogReg,2,0,743.2414332900865,13,3,16,0.7692307692307692,0.4444444444444444,0.3670584895244009,0.4,3.0
Tannin,RandomForest,2,0,743.2414332900865,13,3,16,0.7692307692307692,0.38333333333333336,0.0,0.4,3.0
Tannin,MLP,2,0,743.2414332900865,13,3,16,0.846153846153846,0.5,0.1794871794871795,0.4,3.0
Tannin,XGBoost,2,0,743.2414332900865,13,3,16,0.4615384615384615,0.21313131313131314,-0.12403473458920847,0.0,3.0
Tannin,LightGBM,2,0,743.2414332900865,13,3,16,0.6923076923076923,0.626984126984127,0.16012815380508713,0.4,3.0
Tannin,LogReg,2,1,740.7953612186238,13,3,16,0.28205128205128205,0.17083333333333334,-0.3721042037676254,0.0,3.0
Tannin,RandomForest,2,1,740.7953612186238,13,3,16,0.28205128205128205,0.17083333333333334,0.0,0.0,3.0
Tannin,MLP,2,1,740.7953612186238,13,3,16,0.4102564102564102,0.21666666666666667,-0.10087125544480041,0.2,3.0
Tannin,XGBoost,2,1,740.7953612186238,13,3,16,0.3076923076923077,0.17824074074074073,-0.18156825980064073,0.0,3.0
Tannin,LightGBM,2,1,740.7953612186238,13,3,16,0.1538461538461538,0.14835858585858586,-0.18156825980064073,0.0,3.0
Tannin,LogReg,2,2,743.2414332900865,13,3,16,0.1282051282051282,0.1439814814814815,-0.2773500981126145,0.0,3.0
Tannin,RandomForest,2,2,743.2414332900865,13,3,16,0.10256410256410253,0.14206349206349206,0.0,0.0,3.0
Tannin,MLP,2,2,743.2414332900865,13,3,16,0.1282051282051282,0.14572649572649574,-0.12403473458920847,0.0,3.0
Tannin,XGBoost,2,2,743.2414332900865,13,3,16,0.0769230769230769,0.1378968253968254,0.0,0.0,3.0
Tannin,LightGBM,2,2,743.2414332900865,13,3,16,0.051282051282051246,0.13576007326007325,-0.12403473458920847,0.0,3.0
Tannin,LogReg,2,3,727.6185754669,13,4,16,0.4166666666666667,0.31185897435897436,-0.0778498944161523,0.2,4.0
Tannin,RandomForest,2,3,727.6185754669,13,4,16,0.3958333333333333,0.24464285714285716,0.0,0.0,4.0
Tannin,MLP,2,3,727.6185754669,13,4,16,0.3541666666666667,0.23392857142857143,-0.14907119849998599,0.2,4.0
Tannin,XGBoost,2,3,727.6185754669,13,4,16,0.375,0.2376984126984127,-0.14907119849998599,0.0,4.0
Tannin,LightGBM,2,3,727.6185754669,13,4,16,0.5,0.45892857142857146,-0.0778498944161523,0.2,4.0
Tannin,LogReg,2,4,738.2011254663246,13,3,15,0.47222222222222215,0.2621082621082621,0.07537783614444091,0.2,3.0
Tannin,RandomForest,2,4,738.2011254663246,13,3,15,0.5555555555555556,0.28535353535353536,0.0,0.2,3.0
Tannin,MLP,2,4,738.2011254663246,13,3,15,0.44444444444444436,0.2343304843304843,0.07537783614444091,0.2,3.0
Tannin,XGBoost,2,4,738.2011254663246,13,3,15,0.5555555555555556,0.3492063492063492,-0.1336306209562122,0.2,3.0
Tannin,LightGBM,2,4,738.2011254663246,13,3,15,0.5,0.2833333333333333,0.07537783614444091,0.4,3.0
Tannin,LogReg,3,0,743.2414332900865,13,3,16,0.3333333333333333,0.2767857142857143,0.0,0.2,3.0
Tannin,RandomForest,3,0,743.2414332900865,13,3,16,0.3846153846153845,0.19120879120879122,0.0,0.0,3.0
Tannin,MLP,3,0,743.2414332900865,13,3,16,0.5641025641025641,0.28809523809523807,-0.12403473458920847,0.4,3.0
Tannin,XGBoost,3,0,743.2414332900865,13,3,16,0.2564102564102564,0.16567460317460317,0.0,0.0,3.0
Tannin,LightGBM,3,0,743.2414332900865,13,3,16,0.23076923076923075,0.16567460317460317,-0.18156825980064073,0.0,3.0
Tannin,LogReg,3,1,743.2414332900865,13,3,16,0.5128205128205128,0.23164983164983166,-0.2773500981126145,0.2,3.0
Tannin,RandomForest,3,1,743.2414332900865,13,3,16,0.4871794871794871,0.22692307692307695,0.0,0.2,3.0
Tannin,MLP,3,1,743.2414332900865,13,3,16,0.6923076923076923,0.3206349206349206,-0.18156825980064073,0.2,3.0
Tannin,XGBoost,3,1,743.2414332900865,13,3,16,0.5641025641025641,0.25,0.0,0.2,3.0
Tannin,LightGBM,3,1,743.2414332900865,13,3,16,0.4615384615384615,0.21296296296296297,-0.12403473458920847,0.0,3.0
Tannin,LogReg,3,2,743.2414332900865,13,3,16,0.7692307692307693,0.4027777777777778,0.4622501635210242,0.4,3.0
Tannin,RandomForest,3,2,743.2414332900865,13,3,16,0.6923076923076923,0.3277777777777778,0.0,0.4,3.0
Tannin,MLP,3,2,743.2414332900865,13,3,16,0.641025641025641,0.3528138528138528,0.09245003270420485,0.2,3.0
Tannin,XGBoost,3,2,743.2414332900865,13,3,16,0.6666666666666667,0.30277777777777776,-0.12403473458920847,0.2,3.0
Tannin,LightGBM,3,2,743.2414332900865,13,3,16,0.717948717948718,0.33730158730158727,0.5447047794019222,0.2,3.0
Tannin,LogReg,3,3,724.921536219487,13,5,16,0.4,0.3411813186813187,0.021591675854376522,0.2,5.0
Tannin,RandomForest,3,3,724.921536219487,13,5,16,0.45454545454545453,0.3625,0.0,0.4,5.0
Tannin,MLP,3,3,724.921536219487,13,5,16,0.2181818181818182,0.2531349206349206,-0.2548235957188128,0.2,5.0
Tannin,XGBoost,3,3,724.921536219487,13,5,16,0.4000000000000001,0.3018939393939394,-0.17407765595569785,0.2,5.0
Tannin,LightGBM,3,3,724.921536219487,13,5,16,0.2727272727272727,0.2571553446553447,-0.2548235957188128,0.0,5.0
Tannin,LogReg,3,4,738.2011254663246,13,3,15,0.16666666666666666,0.1619047619047619,-0.35355339059327373,0.0,3.0
Tannin,RandomForest,3,4,738.2011254663246,13,3,15,0.08333333333333333,0.14825174825174825,0.0,0.0,3.0
Tannin,MLP,3,4,738.2011254663246,13,3,15,0.5,0.2554945054945055,0.07537783614444091,0.2,3.0
Tannin,XGBoost,3,4,738.2011254663246,13,3,15,0.1388888888888889,0.154985754985755,-0.1336306209562122,0.0,3.0
Tannin,LightGBM,3,4,738.2011254663246,13,3,15,0.02777777777777779,0.14206349206349206,-0.19611613513818402,0.0,3.0
Tannin,LogReg,4,0,743.2414332900865,13,3,16,0.28205128205128205,0.17032967032967034,-0.12403473458920847,0.0,3.0
Tannin,RandomForest,4,0,743.2414332900865,13,3,16,0.358974358974359,0.18716931216931218,0.0,0.0,3.0
Tannin,MLP,4,0,743.2414332900865,13,3,16,0.2564102564102564,0.16984126984126985,-0.12403473458920847,0.0,3.0
Tannin,XGBoost,4,0,743.2414332900865,13,3,16,0.282051282051282,0.19345238095238093,0.0,0.2,3.0
Tannin,LightGBM,4,0,743.2414332900865,13,3,16,0.17948717948717946,0.1508190883190883,-0.23076923076923078,0.0,3.0
Tannin,LogReg,4,1,745.9474440261074,13,3,16,0.1538461538461538,0.14761904761904762,-0.23076923076923078,0.0,3.0
Tannin,RandomForest,4,1,745.9474440261074,13,3,16,0.282051282051282,0.16984126984126985,0.0,0.0,3.0
Tannin,MLP,4,1,745.9474440261074,13,3,16,0.20512820512820512,0.15604395604395604,-0.32387513781564786,0.0,3.0
Tannin,XGBoost,4,1,745.9474440261074,13,3,16,0.0769230769230769,0.13724747474747473,-0.18156825980064073,0.0,3.0
Tannin,LightGBM,4,1,745.9474440261074,13,3,16,0.0769230769230769,0.13724747474747473,-0.32387513781564786,0.0,3.0
Tannin,LogReg,4,2,743.2414332900865,13,3,16,0.4615384615384615,0.2518518518518519,0.1794871794871795,0.2,3.0
Tannin,RandomForest,4,2,743.2414332900865,13,3,16,0.5641025641025641,0.2777777777777778,0.0,0.2,3.0
Tannin,MLP,4,2,743.2414332900865,13,3,16,0.6666666666666666,0.31666666666666665,-0.23076923076923078,0.4,3.0
Tannin,XGBoost,4,2,743.2414332900865,13,3,16,0.48717948717948717,0.23333333333333334,-0.23076923076923078,0.2,3.0
Tannin,LightGBM,4,2,743.2414332900865,13,3,16,0.2564102564102564,0.16536796536796539,-0.3721042037676254,0.0,3.0
Tannin,LogReg,4,3,724.921536219487,13,5,16,0.2909090909090909,0.2725,-0.16363636363636364,0.2,5.0
Tannin,RandomForest,4,3,724.921536219487,13,5,16,0.32727272727272727,0.27403846153846156,0.0,0.0,5.0
Tannin,MLP,4,3,724.921536219487,13,5,16,0.49090909090909085,0.33597069597069595,-0.16363636363636364,0.2,5.0
Tannin,XGBoost,4,3,724.921536219487,13,5,16,0.2909090909090909,0.2658333333333333,0.0,0.2,5.0
Tannin,LightGBM,4,3,724.921536219487,13,5,16,0.4363636363636364,0.4625,0.12727272727272726,0.4,5.0
Tannin,LogReg,4,4,738.2011254663246,13,3,15,0.3333333333333333,0.1962962962962963,-0.2004459314343183,0.0,3.0
Tannin,RandomForest,4,4,738.2011254663246,13,3,15,0.3611111111111111,0.20555555555555557,0.0,0.0,3.0
Tannin,MLP,4,4,738.2011254663246,13,3,15,0.3333333333333333,0.19761904761904764,-0.408248290463863,0.0,3.0
Tannin,XGBoost,4,4,738.2011254663246,13,3,15,0.3333333333333333,0.19761904761904764,-0.1336306209562122,0.0,3.0
Tannin,LightGBM,4,4,738.2011254663246,13,3,15,0.19444444444444442,0.16581196581196583,-0.19611613513818402,0.0,3.0
