trait,model,auc_mean,auc_std,auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,mcc_mean,mcc_std,mcc_count,topk_mean,topk_std,topk_count
Antioxidant,LogReg,0.636012876012876,0.11930740595889049,25,0.41598970473970476,0.15848264000336254,25,0.10019932289062233,0.21263969476269512,25,0.28800000000000003,0.14236104336041747,25
Crude_Protein,LogReg,0.6080445665445665,0.1278418311170613,25,0.3981012321012321,0.1358916773455183,25,0.060714193743893995,0.22362636192350643,25,0.29600000000000004,0.11718930554164632,25
Flavonoid,MLP,0.3812781662781663,0.12767528680524612,25,0.2477996521996522,0.0899475725530663,25,-0.09939628624903507,0.18558502967044316,25,0.14400000000000002,0.13564659966250536,25
Insoluble_Oxalate,RandomForest,0.657638888888889,0.19179920853046986,24,0.46937830687830684,0.21415348355655922,24,0.0,0.0,24,0.30833333333333335,0.13160106602801572,24
Mass_of_Seeds,MLP,0.7392494172494172,0.122863887950521,25,0.5179676268176268,0.1708783296866994,25,0.22731680176708557,0.2341117582197981,25,0.36800000000000005,0.11075498483890767,25
Phenol,MLP,0.431024087024087,0.17747637377420952,25,0.3046868002368002,0.16278278392701268,25,-0.05404851533996828,0.22559409459697177,25,0.17600000000000002,0.1451436070471816,25
Seed_Coat_Tannin,MLP,0.4998974358974359,0.164962905665039,25,0.30199527444233326,0.14536789850105963,25,-0.09262354824144625,0.23577193506425617,25,0.168,0.1492201952373293,25
Seed_Length,LogReg,0.711981684981685,0.12397061149559453,25,0.4814612184112184,0.1889151563020242,25,0.16837833540464914,0.24811222178454964,25,0.35200000000000004,0.21039645117412664,25
Seed_Thickness,XGBoost,0.6918368298368298,0.15450128201394486,25,0.4393240163975458,0.16144460117570403,25,-0.004621049844969366,0.19775284188715847,25,0.344,0.15832456116050556,25
Seed_Width,MLP,0.7123076923076923,0.13800527393907416,25,0.494251702001702,0.18060078660677903,25,0.1580517459433059,0.27472574805088334,25,0.36,0.12909944487358055,25
Soluble_Oxalate,LogReg,0.797420634920635,0.21438336476042982,24,0.6777777777777777,0.2727860669559239,24,0.40066407304108154,0.4016194533114428,24,0.30833333333333335,0.1316010660280157,24
Tannin,MLP,0.4656118881118881,0.16924818756594273,25,0.267814837014837,0.07952821056244566,25,-0.09051817932121912,0.15887283717072767,25,0.19200000000000003,0.12220201853215575,25
Total_Oxalate,RandomForest,0.659623015873016,0.21015512733323385,24,0.4846560846560846,0.24406047216757226,24,0.0,0.0,24,0.3,0.1318760946791574,24
