ID	ID	Class	Mean	stdev	Predicted_0.28	Median	score_0	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10	score_11	score_12	score_13	score_14	score_15	score_16	score_17	score_18	score_19
TSs361	0	0.4119	0.15067493767081924	1	0.436	0.144	0.532	0.354	0.642	0.592	0.33	0.508	0.148	0.532	0.174	0.45	0.334	0.442	0.452	0.43	0.414	0.628	0.312	0.282	0.538
TSs138B	0	0.3788	0.11514092052327601	1	0.36	0.292	0.432	0.336	0.532	0.572	0.278	0.448	0.476	0.344	0.28	0.376	0.328	0.208	0.294	0.414	0.472	0.58	0.184	0.454	0.276
TSs287	1	0.4267	0.07045797553002409	1	0.421	0.516	0.49	0.43	0.364	0.448	0.422	0.366	0.504	0.334	0.472	0.332	0.402	0.388	0.474	0.356	0.336	0.402	0.59	0.488	0.42
TSs383	0	0.4625	0.06168809490194666	1	0.473	0.512	0.502	0.438	0.38	0.498	0.43	0.406	0.48	0.5	0.504	0.404	0.51	0.476	0.47	0.342	0.378	0.464	0.618	0.476	0.462
TSs314A	0	0.5367	0.06259065005002114	1	0.527	0.512	0.508	0.574	0.42	0.51	0.512	0.528	0.558	0.456	0.504	0.544	0.456	0.526	0.54	0.552	0.514	0.684	0.652	0.59	0.594
TSs30	0	0.44279999999999997	0.047103022587113304	1	0.437	0.428	0.492	0.44	0.43	0.498	0.44	0.402	0.426	0.366	0.516	0.374	0.39	0.434	0.45	0.466	0.424	0.49	0.546	0.442	0.402
TSs363	0	0.38249999999999995	0.11753588477791077	1	0.328	0.306	0.32	0.332	0.674	0.268	0.322	0.49	0.302	0.546	0.31	0.534	0.382	0.298	0.326	0.538	0.454	0.302	0.22	0.396	0.33
TSs9	0	0.5282	0.03867761490496592	1	0.526	0.556	0.554	0.55	0.524	0.558	0.526	0.49	0.552	0.446	0.576	0.494	0.488	0.538	0.502	0.526	0.478	0.526	0.59	0.5	0.59
TSs357	0	0.3105	0.08355993751729794	1	0.318	0.252	0.198	0.332	0.448	0.226	0.318	0.442	0.24	0.386	0.254	0.384	0.318	0.208	0.244	0.378	0.346	0.242	0.398	0.398	0.198
TSs5A	0	0.41469999999999996	0.048628668174452945	1	0.433	0.364	0.29	0.428	0.488	0.348	0.43	0.45	0.406	0.382	0.368	0.448	0.438	0.38	0.438	0.444	0.38	0.436	0.46	0.446	0.47
TSs294	0	0.43549999999999994	0.053299056968057236	1	0.438	0.474	0.432	0.486	0.47	0.484	0.452	0.44	0.436	0.324	0.46	0.52	0.38	0.412	0.4	0.356	0.386	0.484	0.518	0.386	0.41
TSs378	0	0.4642999999999999	0.06346909732924735	1	0.453	0.462	0.494	0.538	0.4	0.428	0.504	0.43	0.452	0.364	0.454	0.424	0.43	0.478	0.48	0.418	0.434	0.39	0.634	0.516	0.556
TSs3A	0	0.6302000000000001	0.061814322986794804	1	0.633	0.638	0.638	0.558	0.588	0.712	0.654	0.534	0.55	0.562	0.628	0.74	0.592	0.622	0.664	0.704	0.58	0.582	0.728	0.686	0.644
TSs95	1	0.49059999999999987	0.06315261381430658	1	0.481	0.428	0.572	0.454	0.466	0.57	0.408	0.42	0.53	0.518	0.404	0.422	0.452	0.6	0.48	0.484	0.482	0.584	0.578	0.494	0.466
TSs2	1	0.49399999999999994	0.07948518564388024	1	0.486	0.426	0.428	0.484	0.55	0.406	0.6	0.472	0.376	0.492	0.362	0.57	0.454	0.442	0.618	0.632	0.548	0.446	0.488	0.578	0.508
TSs44C	0	0.45840000000000003	0.046645809875565124	1	0.452	0.456	0.494	0.538	0.52	0.404	0.436	0.426	0.432	0.412	0.368	0.436	0.392	0.51	0.476	0.438	0.448	0.49	0.506	0.48	0.506
TSs98	0	0.5770000000000001	0.060761830123853236	1	0.572	0.576	0.642	0.582	0.532	0.674	0.548	0.526	0.632	0.558	0.662	0.514	0.574	0.62	0.552	0.592	0.456	0.57	0.688	0.536	0.506
TSs116	0	0.5767	0.0463682059855219	1	0.573	0.584	0.568	0.544	0.628	0.52	0.5	0.556	0.548	0.576	0.58	0.638	0.532	0.64	0.526	0.666	0.594	0.57	0.53	0.634	0.6
TSs269	0	0.5026	0.04425333766776065	1	0.501	0.474	0.498	0.55	0.418	0.438	0.542	0.522	0.468	0.552	0.466	0.538	0.56	0.504	0.542	0.538	0.496	0.428	0.496	0.474	0.548
TSs49A	1	0.4079	0.04619170579455284	1	0.399	0.47	0.388	0.4	0.372	0.368	0.368	0.436	0.392	0.342	0.346	0.452	0.416	0.426	0.458	0.52	0.374	0.398	0.36	0.436	0.436
TSs417	0	0.44830000000000003	0.07279755634996489	1	0.435	0.492	0.436	0.442	0.332	0.44	0.49	0.434	0.404	0.368	0.574	0.41	0.61	0.428	0.392	0.42	0.358	0.4	0.564	0.494	0.478
TSs195	0	0.4043	0.0741329531102202	1	0.405	0.332	0.234	0.432	0.51	0.316	0.512	0.406	0.404	0.532	0.38	0.406	0.352	0.44	0.442	0.474	0.358	0.372	0.458	0.396	0.33
TSs371	0	0.514	0.039019563244473573	1	0.511	0.54	0.53	0.48	0.552	0.536	0.456	0.468	0.544	0.494	0.506	0.47	0.548	0.512	0.506	0.546	0.58	0.51	0.578	0.46	0.464
TSs365	0	0.4519000000000001	0.10687420052024765	1	0.46	0.478	0.308	0.4	0.628	0.368	0.596	0.544	0.388	0.572	0.356	0.5	0.636	0.336	0.418	0.464	0.46	0.376	0.254	0.496	0.46
TSs325	0	0.43339999999999995	0.07929186591321963	1	0.439	0.446	0.498	0.416	0.314	0.44	0.452	0.352	0.464	0.28	0.43	0.47	0.436	0.534	0.5	0.464	0.324	0.438	0.622	0.366	0.422
TSs119A	0	0.4029	0.0539999025340251	1	0.417	0.448	0.356	0.366	0.37	0.476	0.434	0.416	0.406	0.324	0.512	0.418	0.346	0.366	0.448	0.424	0.294	0.356	0.428	0.43	0.44
TSs166	1	0.5937	0.06842983344465453	1	0.596	0.634	0.654	0.578	0.676	0.542	0.584	0.658	0.552	0.582	0.61	0.678	0.558	0.574	0.608	0.686	0.42	0.506	0.506	0.66	0.608
TSs297	1	0.5993999999999999	0.06873013588628621	1	0.575	0.604	0.548	0.576	0.678	0.574	0.72	0.68	0.556	0.582	0.554	0.728	0.518	0.52	0.568	0.664	0.58	0.544	0.522	0.698	0.574
TSs338	0	0.4891000000000001	0.04726843834058721	1	0.482	0.522	0.552	0.502	0.51	0.458	0.486	0.56	0.442	0.444	0.534	0.478	0.488	0.46	0.426	0.424	0.46	0.516	0.598	0.474	0.448
TSs293	0	0.5332000000000001	0.0714581953607179	1	0.516	0.614	0.514	0.51	0.432	0.488	0.518	0.582	0.492	0.446	0.522	0.538	0.482	0.494	0.55	0.498	0.456	0.708	0.622	0.656	0.542
