trait,LogReg,RF,GB,SVMrbf
Crude_Protein,0.5640509725016767,0.5479543930248155,0.5580147551978538,0.3423876592890677
Soluble_Oxalate,0.7361111111111112,0.7013888888888888,0.6805555555555556,0.3038194444444444
Tannin,0.4419504643962848,0.4202786377708978,0.42414860681114547,0.3142414860681114
Phenol,0.38493150684931504,0.3917808219178083,0.36917808219178083,0.3458904109589041
Flavonoid,0.38264580369843526,0.3805120910384068,0.35135135135135137,0.26386913229018494
Antioxidant,0.6256038647342995,0.5881642512077294,0.5815217391304348,0.3381642512077294
Seed_Length,0.7428355957767723,0.7043740573152338,0.6817496229260935,0.21153846153846154
Seed_Width,0.7571644042232277,0.7013574660633484,0.7134238310708899,0.22775263951734542
Seed_Thickness,0.6248196248196247,0.6457431457431457,0.6406926406926408,0.3484848484848485
Mass_of_Seeds,0.6930618401206636,0.698340874811463,0.6960784313725491,0.2273755656108597
