pathway,n_genes,roh_mean_pathway,roh_mean_background,roh_delta,p_perm_roh,ihs_mean_pathway,ihs_mean_background,ihs_delta,p_perm_ihs,p_perm_roh_bh,p_perm_ihs_bh
Iron / metal transport,19,0.23565937315198104,0.27761909501122045,-0.04195972185923941,0.021333333333333333,0.0,0.010998994192271504,-0.010998994192271504,1.0,0.256,1.0
Redox / glutathione / oxidative stress,151,0.29060942034377557,0.27752920046136403,0.013080219882411537,0.04533333333333334,0.033112582781456956,0.010883378409201994,0.022229204372254962,0.05633333333333333,0.272,0.14333333333333334
Seed-development regulators (AINTEGUMENTA / TTG / DA1 / GW2),12,0.24906367041198504,0.27760434966218267,-0.028540679250197626,0.20666666666666667,0.0,0.01099649669131958,-0.01099649669131958,1.0,0.5666666666666667,1.0
Auxin homeostasis (IAA hydrolase / PIN / AUX1),62,0.2900507430228344,0.2775681496316621,0.012482593391172303,0.21466666666666667,0.08064516129032258,0.010851907206446163,0.06979325408387642,0.006666666666666667,0.5666666666666667,0.07400000000000001
Oxalate / ascorbate biosynthesis upstream (MIOX / GLDH / GalUR),20,0.2977528089887641,0.27758016220801224,0.02017264678075187,0.24833333333333332,0.15,0.010902011680726801,0.1390979883192732,0.02,0.5666666666666667,0.08
Phenylpropanoid pathway (PAL / C4H / 4CL / HCT / DFR),20,0.26067415730337073,0.27760422363026105,-0.016930066326890314,0.3313333333333333,0.0,0.01099935107073329,-0.01099935107073329,1.0,0.5666666666666667,1.0
Primary metabolism (G6PDH / PFK / TCA / glycolysis),28,0.2907303370786517,0.2775813061791675,0.013149030899484215,0.3616666666666667,0.07142857142857142,0.010937297156951837,0.060491274271619586,0.07166666666666667,0.5666666666666667,0.14333333333333334
Oxalate / organic-acid efflux (ALMT / MATE / ABCC),55,0.28631256384065373,0.2775776665395314,0.008734897301122313,0.407,0.03636363636363636,0.010946889719019002,0.02541674664461736,0.15466666666666667,0.5666666666666667,0.232
"Translation machinery (ribosomal proteins, eIF / eEF)",265,0.27366970532117874,0.277627250483094,-0.003957545161915266,0.425,0.026415094339622643,0.010858544562551104,0.015556549777071538,0.06533333333333333,0.5666666666666667,0.14333333333333334
Cell-wall biosynthesis (CESA / PME / expansin / galactosyltransferase),72,0.2712234706616729,0.27760815020615803,-0.006384679544485128,0.492,0.06944444444444445,0.010855434217368695,0.05858901022707575,0.012333333333333333,0.5903999999999999,0.07400000000000001
Drought / ABA / stress response,130,0.28033707865168545,0.2775816292805598,0.002755449371125651,0.702,0.015384615384615385,0.010973624226636275,0.00441099115797911,0.731,0.76,0.9746666666666667
PPR (mitochondrial / plastid RNA editing),72,0.28050873907615487,0.2775864218089322,0.0029223172672226405,0.76,0.041666666666666664,0.0109204368174727,0.030746229849193965,0.089,0.76,0.15257142857142855
