pfam,n_background,n_candidate,fold,p_hyper,p_bh
PF07687,9,3,142.77777777777777,1.0145924790476025e-06,1.5218887185714037e-05
PF01546,12,3,107.08333333333331,2.6439184073605592e-06,1.9829388055204194e-05
PF03767,14,3,91.78571428571428,4.359825200036338e-06,2.179912600018169e-05
PF00208,9,2,95.18518518518518,0.00019145954034973707,0.0005743786210492113
PF02812,9,2,95.18518518518518,0.00019145954034973707,0.0005743786210492113
PF00450,27,2,31.728395061728392,0.0018166585671894155,0.0045416464179735385
PF00240,40,2,21.416666666666668,0.003958719246830497,0.00848296981463678
PF00462,55,2,15.575757575757576,0.007368770999201157,0.01381644562350217
PF13812,467,4,3.668807994289793,0.023816985282386002,0.03969497547064334
PF13041,506,4,3.3860342555994727,0.030729387149941275,0.040843872132909166
PF17177,121,2,7.079889807162534,0.0326454447126206,0.040843872132909166
PF12854,298,3,4.3120805369127515,0.03267509770632734,0.040843872132909166
PF01535,553,4,3.098251959011453,0.04048804701731173,0.04671697732766738
PF07714,1000,3,1.285,0.41466417600532013,0.4178021494822836
PF00069,1005,3,1.2786069651741292,0.4178021494822836,0.4178021494822836
