sample,PC1,PC2,Q1,Q2,Q3,anc,anc_frac
TSs156A,-29.08213511845353,-0.7434278802604793,1e-05,0.99998,1e-05,1,0.99998
TSs361,-41.32091789163502,-3.1045586184101466,1e-05,0.99998,1e-05,1,0.99998
TSs368,6.132221491449142,11.94933273968141,0.6805,1e-05,0.31949,0,0.6805
TSs49,7.6089390009646225,7.609456917811822,0.775724,1e-05,0.224266,0,0.775724
TSs138B,-23.295827469543823,-3.6944235063165554,1e-05,0.879564,0.120426,1,0.879564
TSs22B,-0.5578871153515826,16.18686300356652,0.929692,0.070298,1e-05,0,0.929692
TSs287,7.680326720669382,-0.0716025668002983,0.364437,1e-05,0.635553,2,0.635553
TSs383,5.091711324299178,-9.728604738950182,0.063021,0.104817,0.832161,2,0.832161
TSs314A,5.704603657211161,2.136908509321956,0.421258,0.036699,0.542043,2,0.542043
TSs30,7.398242674590476,-2.560823521298929,0.312441,0.040449,0.64711,2,0.64711
TSs291,8.01732285956197,-18.27945688739711,1e-05,0.02548,0.97451,2,0.97451
TSs157A,7.958375504928719,10.253564804181403,0.558948,1e-05,0.441042,0,0.558948
TSs27,-1.7199616764873644,-1.1190678028151804,0.280594,0.224857,0.49455,2,0.49455
TSs363,-30.51415705068108,0.1757150687370254,1e-05,0.99998,1e-05,1,0.99998
TSs9,0.857909874373953,16.477068515331048,0.793035,0.082969,0.123996,0,0.793035
TSs151B,-41.05425224501673,-2.8218025929875,1e-05,0.99998,1e-05,1,0.99998
TSs133,-26.712471169988387,-1.4682454060540016,1e-05,0.99998,1e-05,1,0.99998
TSs155,-21.184547551196808,-13.38643735484121,1e-05,0.712423,0.287567,1,0.712423
TSs209,6.4702636447588535,-11.842497498301164,1e-05,0.079412,0.920578,2,0.920578
TSs136,3.9968793619175766,9.734107029525024,0.700645,1e-05,0.299345,0,0.700645
TSs22A,3.505341997819826,11.762373522167358,0.99998,1e-05,1e-05,0,0.99998
TSs357,-23.40700570349236,-4.812605954423713,1e-05,0.757211,0.242779,1,0.757211
TSs161,9.732164007204254,-11.220264008209824,0.094814,0.039225,0.865961,2,0.865961
TSs11,7.759763802271475,-5.354088951207927,0.283234,0.006331,0.710435,2,0.710435
TSs5A,-6.695780642653983,-3.713534836573156,0.137197,0.358711,0.504092,2,0.504092
TSs131,2.076755430506088,3.072925471728368,0.396288,0.100979,0.502734,2,0.502734
TSs294,1.9625690058871912,-2.0483529763326267,0.254197,0.146209,0.599594,2,0.599594
TSs378,5.674328668295019,-0.3753149833074084,0.404334,0.032763,0.562902,2,0.562902
TSs336,2.3720065035558155,3.779678438769031,0.45358,0.067718,0.478702,2,0.478702
TSs111,-16.00646482025574,-7.181444966873197,0.012902,0.596557,0.390541,1,0.596557
TSs56,8.149184840237805,3.695925856304751,0.523777,1e-05,0.476213,0,0.523777
TSs3A,4.534879378036723,5.959199748717087,0.641491,1e-05,0.358499,0,0.641491
