chr,start,end,strand,gene_id,name,product,pfam,interpro,go,note,annot_search,roh_panel_frac,n_ihs_outliers_within_100kb,passes_roh_threshold,passes_ihs_threshold,selection_candidate
Ss04,63592798,63601610,+,AYBTSS11_014553,Spste.TSs11.04G145530.1,hypothetical protein,"PF02812,PF00208","IPR016040,IPR006096,IPR006097","GO:0055114,GO:0006520,GO:0016491","COG:E,EggNog:ENOG503GB1W","hypothetical protein | COG:E,EggNog:ENOG503GB1W | PF02812,PF00208 | IPR016040,IPR006096,IPR006097 | Spste.TSs11.04G145530.1",0.4044943820224719,1,True,True,True
Ss04,63603648,63603979,+,AYBTSS11_014554,Spste.TSs11.04G145540.1,hypothetical protein,,,,,hypothetical protein |  |  |  | Spste.TSs11.04G145540.1,0.4044943820224719,1,True,True,True
Ss04,63604252,63614095,+,AYBTSS11_014555,Spste.TSs11.04G145550.1,hypothetical protein,"PF02812,PF00208","IPR016040,IPR006096,IPR006097","GO:0055114,GO:0006520,GO:0016491","COG:E,BUSCO:EOG093604MW,EggNog:ENOG503GB1W","hypothetical protein | COG:E,BUSCO:EOG093604MW,EggNog:ENOG503GB1W | PF02812,PF00208 | IPR016040,IPR006096,IPR006097 | Spste.TSs11.04G145550.1",0.4044943820224719,1,True,True,True
Ss04,63615587,63621571,-,AYBTSS11_014556,Spste.TSs11.04G145560.1,hypothetical protein,PF05773,"IPR016135,IPR006575",GO:0005515,"COG:S,EggNog:ENOG503GCQ6","hypothetical protein | COG:S,EggNog:ENOG503GCQ6 | PF05773 | IPR016135,IPR006575 | Spste.TSs11.04G145560.1",0.4044943820224719,1,True,True,True
Ss04,63624485,63628491,+,AYBTSS11_014557,Spste.TSs11.04G145570.1,hypothetical protein,PF00855,IPR000313,,"COG:S,EggNog:ENOG503GB7Q","hypothetical protein | COG:S,EggNog:ENOG503GB7Q | PF00855 | IPR000313 | Spste.TSs11.04G145570.1",0.4044943820224719,1,True,True,True
Ss04,63630195,63633932,+,AYBTSS11_014558,Spste.TSs11.04G145580.1,hypothetical protein,PF01778,"IPR029004,IPR002672","GO:0005840,GO:0005622,GO:0006412,GO:0003735","COG:J,EggNog:ENOG503GHZ7","hypothetical protein | COG:J,EggNog:ENOG503GHZ7 | PF01778 | IPR029004,IPR002672 | Spste.TSs11.04G145580.1",0.4044943820224719,1,True,True,True
Ss04,63634577,63638923,-,AYBTSS11_014559,Spste.TSs11.04G145590.1,hypothetical protein,PF04547,"IPR030142,IPR007632",,"EggNog:ENOG503GEES,COG:D","hypothetical protein | EggNog:ENOG503GEES,COG:D | PF04547 | IPR030142,IPR007632 | Spste.TSs11.04G145590.1",0.4044943820224719,1,True,True,True
Ss04,63647497,63650872,+,AYBTSS11_014560,Spste.TSs11.04G145600.1,IAA-amino acid hydrolase ILR1-like 4,"PF07687,PF01546","IPR017439,IPR011650,IPR002933","GO:0016787,GO:0008152","EggNog:ENOG503G7T8,MEROPS:MER0002659,COG:G","IAA-amino acid hydrolase ILR1-like 4 | EggNog:ENOG503G7T8,MEROPS:MER0002659,COG:G | PF07687,PF01546 | IPR017439,IPR011650,IPR002933 | Spste.TSs11.04G145600.1",0.4044943820224719,1,True,True,True
Ss04,63653765,63655826,+,AYBTSS11_014561,Spste.TSs11.04G145610.1,IAA-amino acid hydrolase ILR1-like 4,"PF07687,PF01546","IPR017439,IPR011650,IPR002933","GO:0008152,GO:0016787","EggNog:ENOG503G7T8,MEROPS:MER0002659,COG:G","IAA-amino acid hydrolase ILR1-like 4 | EggNog:ENOG503G7T8,MEROPS:MER0002659,COG:G | PF07687,PF01546 | IPR017439,IPR011650,IPR002933 | Spste.TSs11.04G145610.1",0.4044943820224719,1,True,True,True
Ss04,63657056,63661931,+,AYBTSS11_014562,Spste.TSs11.04G145620.1,IAA-amino acid hydrolase ILR1-like 4,"PF07687,PF01546","IPR017439,IPR011650,IPR002933","GO:0008152,GO:0016787","EggNog:ENOG503G7T8,MEROPS:MER0002659,COG:G","IAA-amino acid hydrolase ILR1-like 4 | EggNog:ENOG503G7T8,MEROPS:MER0002659,COG:G | PF07687,PF01546 | IPR017439,IPR011650,IPR002933 | Spste.TSs11.04G145620.1",0.4044943820224719,1,True,True,True
Ss04,63662885,63666287,-,AYBTSS11_014563,Spste.TSs11.04G145630.1,hypothetical protein,PF02485,IPR003406,"GO:0008375,GO:0016020","COG:S,EggNog:ENOG503GBQF","hypothetical protein | COG:S,EggNog:ENOG503GBQF | PF02485 | IPR003406 | Spste.TSs11.04G145630.1",0.4044943820224719,1,True,True,True
Ss04,63668916,63673302,-,AYBTSS11_014564,Spste.TSs11.04G145640.1,hypothetical protein,,,,"COG:S,EggNog:ENOG503G7PB","hypothetical protein | COG:S,EggNog:ENOG503G7PB |  |  | Spste.TSs11.04G145640.1",0.4044943820224719,1,True,True,True
Ss04,63678755,63680113,+,AYBTSS11_014565,Spste.TSs11.04G145650.1,hypothetical protein,PF00010,IPR011598,GO:0046983,"EggNog:ENOG503GFGP,COG:K","hypothetical protein | EggNog:ENOG503GFGP,COG:K | PF00010 | IPR011598 | Spste.TSs11.04G145650.1",0.4044943820224719,1,True,True,True
Ss04,63682337,63686765,-,AYBTSS11_014566,Spste.TSs11.04G145660.1,hypothetical protein,"PF07714,PF13855,PF00069,PF00560,PF12819","IPR011009,IPR024788,IPR000719,IPR032675,IPR001611","GO:0005515,GO:0005524,GO:0004672,GO:0006468","COG:T,EggNog:ENOG503GA01","hypothetical protein | COG:T,EggNog:ENOG503GA01 | PF07714,PF13855,PF00069,PF00560,PF12819 | IPR011009,IPR024788,IPR000719,IPR032675,IPR001611 | Spste.TSs11.04G145660.1",0.4044943820224719,1,True,True,True
Ss04,63688494,63692201,+,AYBTSS11_014567,Spste.TSs11.04G145670.1,"Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic","PF00479,PF02781","IPR001282,IPR016040,IPR022674,IPR022675","GO:0055114,GO:0006006,GO:0004345,GO:0050661","BUSCO:EOG093605PS,COG:G,EggNog:ENOG503GBSZ","Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic | BUSCO:EOG093605PS,COG:G,EggNog:ENOG503GBSZ | PF00479,PF02781 | IPR001282,IPR016040,IPR022674,IPR022675 | Spste.TSs11.04G145670.1",0.4044943820224719,1,True,True,True
Ss04,63692743,63694305,-,AYBTSS11_014568,Spste.TSs11.04G145680.1,hypothetical protein,"PF01535,PF17177,PF12854,PF13041,PF13812",IPR002885,,"COG:S,EggNog:ENOG503GGSA","hypothetical protein | COG:S,EggNog:ENOG503GGSA | PF01535,PF17177,PF12854,PF13041,PF13812 | IPR002885 | Spste.TSs11.04G145680.1",0.4044943820224719,1,True,True,True
Ss04,63694644,63699297,+,AYBTSS11_014569,Spste.TSs11.04G145690.1,hypothetical protein,PF04934,IPR007018,"GO:0016592,GO:0001104,GO:0006357","COG:K,EggNog:ENOG503GFKR","hypothetical protein | COG:K,EggNog:ENOG503GFKR | PF04934 | IPR007018 | Spste.TSs11.04G145690.1",0.4044943820224719,1,True,True,True
Ss04,63702987,63705881,+,AYBTSS11_014570,Spste.TSs11.04G145700.1,Inositol oxygenase 1,PF05153,IPR007828,"GO:0005506,GO:0050113,GO:0055114,GO:0019310,GO:0005737","COG:S,EggNog:ENOG503G9JW","Inositol oxygenase 1 | COG:S,EggNog:ENOG503G9JW | PF05153 | IPR007828 | Spste.TSs11.04G145700.1",0.4044943820224719,1,True,True,True
Ss04,63708465,63710549,+,AYBTSS11_014571,Spste.TSs11.04G145710.1,hypothetical protein,PF00657,"IPR013830,IPR001087",GO:0016788,"EggNog:ENOG503GB7J,COG:L","hypothetical protein | EggNog:ENOG503GB7J,COG:L | PF00657 | IPR013830,IPR001087 | Spste.TSs11.04G145710.1",0.4044943820224719,1,True,True,True
