chr,win_start,win_end,mid_bp,n_snps,pi_total,pi_per_site,theta_W,tajima_D
Ss01,5550601,5800601,5675601,5,1.5741019214703427,6.296407685881371e-06,0.8588695506140809,1.6084453748036271
Ss01,5650601,5900601,5775601,7,2.3004734057365637,9.201893622946254e-06,1.2024173708597132,1.9533845289465173
Ss01,5750601,6000601,5875601,6,2.190810359231412,8.763241436925649e-06,1.030643460736897,2.3016972089901917
Ss01,8350601,8600601,8475601,4,1.298691172375383,5.1947646895015315e-06,0.6870956404912647,1.5951754470646855
Ss01,8450601,8700601,8575601,4,1.298691172375383,5.1947646895015315e-06,0.6870956404912647,1.5951754470646855
Ss01,16950601,17200601,17075601,4,1.7308128622451544,6.923251448980618e-06,0.6870956404912647,2.7222437035982647
Ss01,17050601,17300601,17175601,4,1.7308128622451544,6.923251448980618e-06,0.6870956404912647,2.7222437035982647
Ss01,17150601,17400601,17275601,4,1.7308128622451544,6.923251448980618e-06,0.6870956404912647,2.7222437035982647
Ss01,18050601,18300601,18175601,4,1.8057365636313003,7.222946254525201e-06,0.6870956404912647,2.917661169265806
Ss01,18150601,18400601,18275601,4,1.8057365636313003,7.222946254525201e-06,0.6870956404912647,2.917661169265806
Ss01,32250601,32500601,32375601,6,2.9604010025062655,1.1841604010025061e-05,1.030643460736897,3.8285160123789965
Ss01,32350601,32600601,32475601,6,2.9604010025062655,1.1841604010025061e-05,1.030643460736897,3.8285160123789965
Ss01,32450601,32700601,32575601,5,2.4579782790309106,9.831913116123642e-06,0.8588695506140809,3.596144613744087
Ss01,34550601,34800601,34675601,4,0.6159844054580896,2.4639376218323583e-06,0.6870956404912647,-0.18547371624170073
Ss01,34650601,34900601,34775601,5,0.7349484823169034,2.9397939292676134e-06,0.8588695506140809,-0.2786790381211317
Ss01,40750601,41000601,40875601,5,1.8934558618769146,7.5738234475076584e-06,0.8588695506140809,2.3266222768883527
Ss01,40850601,41100601,40975601,6,2.8682261208577,1.14729044834308e-05,1.030643460736897,3.6456469199192725
Ss01,40950601,41200601,41075601,8,3.564301280877455,1.425720512350982e-05,1.3741912809825294,3.5365317156370946
Ss01,41050601,41300601,41175601,4,1.6638278751408913,6.655311500563565e-06,0.6870956404912647,2.5475321480355744
Ss01,44750601,45000601,44875601,4,0.8352606782284416,3.3410427129137667e-06,0.6870956404912647,0.3864469538939329
Ss01,44850601,45100601,44975601,4,1.1826290992810733,4.7305163971242936e-06,0.6870956404912647,1.292460074430883
Ss01,46650601,46900601,46775601,4,1.1370648844333053,4.548259537733222e-06,0.6870956404912647,1.1736185966881856
Ss01,46750601,47000601,46875601,6,1.538016914929545,6.15206765971818e-06,1.030643460736897,1.0065966068729826
Ss01,46850601,47100601,46975601,7,1.978284249933722,7.913136999734889e-06,1.2024173708597132,1.380226791682049
